t,trav_lidar,trav_thermal_filt,trav_eff
0.1,1.0,1.0,1.0
0.199,1.0,1.0,1.0
0.3,1.0,1.0,1.0
0.402,1.0,1.0,1.0
0.503,1.0,1.0,1.0
0.604,1.0,1.0,1.0
0.707,1.0,1.0,1.0
0.811,1.0,1.0,1.0
0.912,1.0,1.0,1.0
1.014,1.0,1.0,1.0
1.117,1.0,1.0,1.0
1.219,1.0,1.0,1.0
1.32,1.0,1.0,1.0
1.423,1.0,1.0,1.0
1.525,1.0,1.0,1.0
1.625,1.0,1.0,1.0
1.728,1.0,1.0,1.0
1.831,1.0,1.0,1.0
1.932,1.0,1.0,1.0
2.034,1.0,1.0,1.0
2.134,1.0,1.0,1.0
2.236,1.0,1.0,1.0
2.335,1.0,1.0,1.0
2.438,1.0,1.0,1.0
2.538,1.0,1.0,1.0
2.639,1.0,1.0,1.0
2.742,1.0,1.0,1.0
2.845,1.0,1.0,1.0
2.946,1.0,1.0,1.0
3.047,1.0,1.0,1.0
3.148,1.0,1.0,1.0
3.25,1.0,1.0,1.0
3.351,1.0,1.0,1.0
3.451,1.0,1.0,1.0
3.555,1.0,1.0,1.0
3.658,1.0,1.0,1.0
3.761,1.0,1.0,1.0
3.864,1.0,1.0,1.0
3.966,1.0,1.0,1.0
4.068,1.0,1.0,1.0
4.172,1.0,0.9891,0.9891
4.271,1.0,0.9837,0.9837
4.374,1.0,0.981,0.981
4.477,1.0,0.947,0.947
4.579,1.0,0.93,0.93
4.682,1.0,0.8917,0.8917
4.783,1.0,0.8725,0.8725
4.885,1.0,0.8629,0.8629
4.988,1.0,0.8042,0.8042
5.09,1.0,0.7748,0.7748
5.191,1.0,0.7602,0.7602
5.293,1.0,0.6813,0.6813
5.398,1.0,0.6419,0.6419
5.501,1.0,0.5647,0.5647
5.604,1.0,0.5262,0.5262
5.706,1.0,0.527,0.527
5.807,1.0,0.5277,0.5277
5.908,1.0,0.5282,0.5282
6.009,1.0,0.5651,0.5651
6.114,1.0,0.5945,0.5945
6.217,1.0,0.6181,0.6181
6.319,1.0,0.6833,0.6833
6.421,1.0,0.7354,0.7354
6.524,1.0,0.788,0.788
6.626,1.0,0.83,0.83
6.73,1.0,0.8636,0.8636
6.832,1.0,0.8909,0.8909
6.936,1.0,0.9127,0.9127
7.037,1.0,0.9302,0.9302
7.139,1.0,0.9441,0.9441
7.241,1.0,0.9553,0.9553
7.342,1.0,0.9642,0.9642
7.443,1.0,0.9714,0.9714
7.546,1.0,0.9771,0.9771
7.647,1.0,0.9817,0.9817
7.749,1.0,0.9854,0.9854
7.852,1.0,0.9883,0.9883
7.952,1.0,0.9906,0.9906
8.054,1.0,0.9925,0.9925
8.154,1.0,0.994,0.994
8.258,1.0,0.9952,0.9952
8.359,1.0,0.9962,0.9962
8.461,1.0,0.9969,0.9969
8.562,1.0,0.9975,0.9975
8.664,1.0,0.998,0.998
8.768,1.0,0.9984,0.9984
8.87,1.0,0.9987,0.9987
8.973,1.0,0.999,0.999
9.076,1.0,0.9992,0.9992
9.179,1.0,0.9994,0.9994
9.281,1.0,0.9995,0.9995
9.382,1.0,0.9996,0.9996
9.485,1.0,0.9997,0.9997
9.589,1.0,0.9997,0.9997
9.691,1.0,0.9998,0.9998
9.793,1.0,0.9998,0.9998
9.895,1.0,0.9999,0.9999
9.995,1.0,0.9999,0.9999
10.098,1.0,0.9999,0.9999
10.2,1.0,0.9999,0.9999
10.304,1.0,0.9999,0.9999
10.407,1.0,1.0,1.0
10.51,1.0,1.0,1.0
10.613,1.0,1.0,1.0
10.712,1.0,1.0,1.0
10.816,1.0,1.0,1.0
10.919,1.0,1.0,1.0
11.019,1.0,1.0,1.0
11.123,1.0,1.0,1.0
11.223,1.0,1.0,1.0
11.323,1.0,1.0,1.0
11.431,1.0,1.0,1.0
11.534,1.0,1.0,1.0
11.64,1.0,1.0,1.0
11.74,1.0,1.0,1.0
11.841,1.0,1.0,1.0
11.943,1.0,1.0,1.0
12.045,1.0,1.0,1.0
12.149,1.0,1.0,1.0
12.251,1.0,1.0,1.0
