scenario,trial_id,success,goal_reached,collision_free,time_sec,path_length_m,avg_linear_vel,avg_angular_vel,recovery_count,collision_count,stuck,min_clearance_m,avg_clearance_m,hit_cat,hit_obstacles,avg_traversability,avg_corridor_width
S6,1,1,1,1,35.01,12.0,0.338,0.102,0,0,0,0.437,2.822,0,none,0.984,362.0
S6,2,1,1,1,34.24,11.95,0.344,0.104,0,0,0,0.437,2.846,0,none,0.983,362.0
S6,3,1,1,1,34.13,11.92,0.345,0.103,0,0,0,0.437,2.858,0,none,0.982,362.0
S6,4,1,1,1,33.81,11.86,0.346,0.102,0,0,0,0.437,2.865,0,none,0.982,362.0
S6,5,1,1,1,34.59,11.96,0.34,0.105,0,0,0,0.437,2.846,0,none,0.983,362.0
S6,6,1,1,1,34.01,11.92,0.344,0.102,0,0,0,0.437,2.859,0,none,0.981,362.0
S6,7,1,1,1,34.02,11.93,0.345,0.104,0,0,0,0.437,2.855,0,none,0.983,362.0
S6,8,1,1,1,33.99,11.88,0.344,0.103,0,0,0,0.437,2.846,0,none,0.981,362.0
S6,9,1,1,1,34.74,11.99,0.34,0.103,0,0,0,0.437,2.815,0,none,0.984,362.0
S6,10,1,1,1,34.91,11.99,0.338,0.102,0,0,0,0.437,2.838,0,none,0.981,362.0
S6,1,1,1,1,35.21,12.0,0.339,0.103,0,0,0,0.438,2.845,0,none,0.984,362.0
