t,x,y
0.03,0.0,0.0
0.08,0.0,0.0
0.13,0.0074,-0.0007
0.18,0.02,-0.0019
0.23,0.0327,-0.0031
0.28,0.0453,-0.0042
0.33,0.0579,-0.0037
0.39,0.0705,-0.0024
0.44,0.0832,-0.001
0.49,0.0958,0.0004
0.54,0.1083,0.0019
0.59,0.1209,0.0036
0.64,0.1334,0.0052
0.69,0.146,0.0069
0.75,0.1574,0.0108
0.8,0.1686,0.0151
0.85,0.1776,0.021
0.9,0.1861,0.0273
0.95,0.1948,0.0336
1.0,0.2036,0.04
1.06,0.2125,0.0464
1.11,0.2214,0.053
1.16,0.2277,0.0601
1.21,0.2337,0.0674
1.26,0.2402,0.0748
1.31,0.2465,0.0824
1.37,0.2533,0.0901
1.42,0.26,0.0979
1.47,0.267,0.1058
1.52,0.274,0.1138
1.57,0.2814,0.1219
1.63,0.2887,0.13
1.68,0.2963,0.1382
1.73,0.304,0.1466
1.78,0.3122,0.1552
1.84,0.3207,0.1641
1.89,0.3298,0.1733
1.94,0.3391,0.1827
1.99,0.3493,0.1925
2.04,0.3597,0.2025
2.09,0.371,0.2128
2.15,0.3828,0.2233
2.2,0.3954,0.2341
2.25,0.4087,0.2451
2.3,0.423,0.2563
2.35,0.4382,0.2678
2.41,0.4545,0.2795
2.46,0.4713,0.2912
2.51,0.4888,0.3029
2.56,0.5065,0.3143
2.61,0.5244,0.3255
2.66,0.5429,0.3362
2.71,0.5618,0.3465
2.76,0.5807,0.3569
2.82,0.5996,0.3672
2.87,0.6184,0.3776
2.92,0.6373,0.388
2.97,0.6561,0.3984
3.02,0.675,0.4089
3.07,0.6938,0.4193
3.12,0.7126,0.4298
3.18,0.7314,0.4403
3.23,0.7502,0.4508
3.28,0.769,0.4613
3.33,0.7878,0.4719
3.38,0.8065,0.4824
3.44,0.8253,0.493
3.49,0.844,0.5036
3.54,0.8628,0.5142
3.59,0.8815,0.5248
3.64,0.9002,0.5354
3.7,0.919,0.546
3.75,0.9377,0.5567
3.8,0.9564,0.5673
3.85,0.9751,0.578
3.9,0.9938,0.5887
3.95,1.0125,0.5994
4.0,1.0312,0.61
4.05,1.0499,0.6207
4.11,1.0686,0.6314
4.16,1.0873,0.6421
4.21,1.1056,0.6533
4.26,1.124,0.6645
4.31,1.1424,0.6757
4.37,1.1608,0.687
