t,x,y
0.04,0.0,0.0
0.09,0.0,0.0
0.14,0.0188,-0.0017
0.19,0.0441,-0.004
0.24,0.0695,-0.0059
0.3,0.0949,-0.0077
0.35,0.0998,-0.0051
0.4,0.1002,-0.0015
0.45,0.122,0.0016
0.51,0.1472,0.0048
0.56,0.1724,0.0083
0.61,0.1975,0.012
0.66,0.2208,0.0198
0.71,0.2438,0.028
0.76,0.2631,0.0399
0.82,0.282,0.052
0.87,0.297,0.0658
0.92,0.3118,0.0798
0.98,0.3275,0.0939
1.03,0.3431,0.1083
1.08,0.3593,0.1227
1.13,0.3754,0.1373
1.18,0.3921,0.1519
1.23,0.4089,0.1667
1.29,0.4263,0.1815
1.34,0.4436,0.1964
1.39,0.4616,0.2112
1.45,0.4793,0.2262
1.5,0.4965,0.2416
1.55,0.5138,0.2571
1.6,0.5318,0.2724
1.66,0.5501,0.2877
1.71,0.569,0.3027
1.77,0.5881,0.3176
1.82,0.6077,0.3323
1.87,0.6275,0.3469
1.92,0.6477,0.3613
1.98,0.6681,0.3755
2.03,0.6887,0.3896
2.08,0.7095,0.4035
2.14,0.7305,0.4173
2.19,0.7517,0.431
2.24,0.7729,0.4445
2.29,0.7943,0.458
2.35,0.8158,0.4713
2.4,0.8373,0.4846
2.45,0.8589,0.4978
2.5,0.8806,0.5109
2.56,0.9024,0.524
2.61,0.9241,0.5371
2.66,0.9459,0.5501
2.71,0.9678,0.5631
2.76,0.9896,0.576
2.81,1.0116,0.5888
2.87,1.0337,0.6015
2.92,1.0558,0.6141
2.97,1.0779,0.6267
3.03,1.0836,0.63
3.08,1.0862,0.6316
3.13,1.0888,0.6332
3.19,1.0914,0.6348
3.24,1.0941,0.6363
3.29,1.0967,0.6379
3.34,1.0993,0.6395
3.39,1.1019,0.6411
3.45,1.1045,0.6426
3.5,1.1071,0.6442
3.55,1.1098,0.6458
3.6,1.1124,0.6474
3.65,1.115,0.6489
3.71,1.1176,0.6505
3.76,1.1202,0.6521
3.81,1.1229,0.6537
3.86,1.1255,0.6552
3.91,1.1281,0.6568
3.97,1.1307,0.6584
4.02,1.1333,0.66
4.07,1.136,0.6615
4.12,1.1386,0.6631
4.17,1.1412,0.6647
4.23,1.1438,0.6662
