t,x,y
0.03,0.0,0.0
0.08,0.0,0.0
0.13,0.0139,-0.0012
0.18,0.0392,-0.0036
0.23,0.0644,-0.0029
0.29,0.0895,0.0
0.34,0.1147,0.0032
0.39,0.1397,0.0066
0.44,0.1647,0.0102
0.49,0.1897,0.014
0.54,0.213,0.021
0.6,0.2357,0.0294
0.65,0.2556,0.0402
0.7,0.2744,0.052
0.75,0.2901,0.0651
0.81,0.3049,0.0787
0.86,0.3203,0.0925
0.91,0.3356,0.1065
0.96,0.3517,0.1206
1.02,0.3677,0.1349
1.07,0.3845,0.1491
1.12,0.4012,0.1636
1.17,0.4186,0.178
1.23,0.436,0.1926
1.28,0.4536,0.2073
1.33,0.471,0.2221
1.38,0.4893,0.2368
1.43,0.5074,0.2516
1.49,0.5251,0.2668
1.54,0.5428,0.2821
1.59,0.5614,0.2971
1.65,0.5799,0.3122
1.7,0.5993,0.3268
1.75,0.6186,0.3416
1.8,0.6386,0.356
1.86,0.6586,0.3704
1.91,0.6791,0.3844
1.96,0.6996,0.3985
2.02,0.7205,0.4123
2.07,0.7414,0.4261
2.12,0.7626,0.4396
2.18,0.7839,0.4532
2.23,0.8053,0.4665
2.28,0.8267,0.4799
2.34,0.8483,0.4931
2.39,0.8699,0.5062
2.44,0.8916,0.5193
2.49,0.9133,0.5324
2.55,0.9351,0.5454
2.6,0.9569,0.5584
2.65,0.9787,0.5713
2.7,1.0007,0.5841
2.76,1.0227,0.5968
2.81,1.0448,0.6095
2.87,1.0669,0.622
2.92,1.0889,0.6348
2.97,1.1108,0.6477
3.03,1.1202,0.6533
3.08,1.1229,0.6548
3.13,1.1255,0.6564
3.18,1.1281,0.6579
3.24,1.1307,0.6595
3.29,1.1334,0.6611
3.34,1.136,0.6626
3.39,1.1386,0.6642
3.45,1.1412,0.6657
3.5,1.1439,0.6673
3.55,1.1465,0.6689
3.6,1.1491,0.6704
3.65,1.1517,0.672
3.71,1.1544,0.6735
3.76,1.157,0.6751
3.81,1.1596,0.6766
3.86,1.1623,0.6782
3.92,1.1649,0.6797
3.97,1.1675,0.6813
4.02,1.1702,0.6829
4.07,1.1728,0.6844
4.13,1.1754,0.686
4.18,1.1781,0.6875
4.23,1.1807,0.6891
4.29,1.1833,0.6906
4.34,1.186,0.6922
4.39,1.1886,0.6937
4.44,1.1913,0.6952
