t,x,y
0.03,0.0,0.0
0.08,0.0,0.0
0.13,0.0159,-0.0014
0.19,0.0411,-0.0038
0.24,0.0664,-0.0027
0.29,0.0915,0.0002
0.34,0.1166,0.0034
0.4,0.1417,0.0068
0.45,0.1667,0.0105
0.5,0.1917,0.0143
0.55,0.2148,0.0216
0.6,0.2375,0.03
0.66,0.2571,0.0411
0.71,0.2759,0.0529
0.76,0.2915,0.0661
0.81,0.3062,0.0797
0.86,0.3218,0.0935
0.92,0.3372,0.1075
0.97,0.3534,0.1215
1.02,0.3694,0.1358
1.07,0.3858,0.1502
1.12,0.4019,0.1649
1.18,0.4189,0.1795
1.23,0.4358,0.1943
1.28,0.4534,0.209
1.33,0.471,0.2238
1.39,0.4892,0.2385
1.44,0.5073,0.2534
1.5,0.5251,0.2685
1.55,0.5429,0.2838
1.6,0.5616,0.2988
1.65,0.5803,0.3138
1.71,0.5997,0.3285
1.76,0.6192,0.3431
1.81,0.6392,0.3575
1.86,0.6593,0.3718
1.91,0.6798,0.3859
1.97,0.7004,0.3999
2.02,0.7213,0.4136
2.07,0.7423,0.4274
2.12,0.7635,0.4409
2.18,0.7848,0.4544
2.23,0.8062,0.4677
2.28,0.8277,0.481
2.33,0.8493,0.4942
2.38,0.8709,0.5073
2.44,0.8926,0.5204
2.49,0.9144,0.5334
2.54,0.9362,0.5464
2.59,0.958,0.5593
2.65,0.9799,0.5723
2.7,1.0018,0.585
2.75,1.0239,0.5977
2.8,1.046,0.6103
2.86,1.0681,0.6229
2.91,1.0901,0.6357
2.97,1.112,0.6486
3.02,1.1199,0.6532
3.07,1.1226,0.6548
3.12,1.1252,0.6563
3.17,1.1278,0.6579
3.23,1.1304,0.6595
3.28,1.1331,0.661
3.33,1.1357,0.6626
3.38,1.1383,0.6642
3.43,1.1409,0.6657
3.49,1.1436,0.6673
3.54,1.1462,0.6688
3.59,1.1488,0.6704
3.64,1.1514,0.672
3.69,1.1541,0.6735
3.74,1.1567,0.6751
3.8,1.1593,0.6766
3.85,1.162,0.6782
3.9,1.1646,0.6798
3.96,1.1672,0.6813
4.01,1.1699,0.6829
4.06,1.1725,0.6844
4.12,1.1751,0.686
4.17,1.1778,0.6875
4.22,1.1804,0.6891
4.27,1.183,0.6906
4.33,1.1857,0.6922
4.38,1.1883,0.6937
4.43,1.191,0.6952
