t,x,y
0.04,0.0,0.0
0.09,0.0,0.0
0.14,0.0188,-0.0017
0.19,0.0441,-0.004
0.24,0.0695,-0.0059
0.29,0.0948,-0.0077
0.35,0.1002,-0.0052
0.4,0.1007,-0.0016
0.45,0.1225,0.0015
0.5,0.1477,0.0046
0.56,0.1708,0.0126
0.61,0.1935,0.0212
0.66,0.212,0.0332
0.71,0.2301,0.0458
0.76,0.2435,0.0597
0.82,0.2566,0.0739
0.87,0.27,0.0883
0.92,0.2832,0.103
0.98,0.2974,0.1179
1.03,0.3114,0.1331
1.08,0.3264,0.1483
1.13,0.3413,0.1638
1.18,0.3571,0.1793
1.24,0.3729,0.1949
1.29,0.3897,0.2104
1.34,0.4066,0.226
1.39,0.4243,0.2414
1.44,0.4421,0.2568
1.5,0.4608,0.2719
1.55,0.4796,0.2871
1.6,0.499,0.3018
1.65,0.5187,0.3165
1.71,0.5389,0.3309
1.76,0.5593,0.3451
1.81,0.58,0.359
1.86,0.601,0.3728
1.91,0.6222,0.3863
1.97,0.6435,0.3997
2.02,0.6651,0.4129
2.07,0.6867,0.426
2.12,0.7083,0.4392
2.18,0.7301,0.4522
2.23,0.7519,0.465
2.28,0.7739,0.4778
2.33,0.7959,0.4904
2.39,0.818,0.503
2.44,0.8402,0.5155
2.49,0.8624,0.5279
2.54,0.8846,0.5403
2.6,0.9068,0.5527
2.65,0.9291,0.565
2.7,0.9515,0.5772
2.76,0.9739,0.5893
2.81,0.9963,0.6014
2.86,1.0188,0.6134
2.91,1.0413,0.6253
2.96,1.0639,0.6372
3.01,1.0865,0.649
3.07,1.1092,0.6607
3.12,1.1142,0.6634
3.17,1.1168,0.6649
3.22,1.1195,0.6664
3.28,1.1221,0.668
3.33,1.1247,0.6695
3.38,1.1274,0.6711
3.44,1.13,0.6726
3.49,1.1326,0.6742
3.54,1.1353,0.6757
3.59,1.1379,0.6773
3.64,1.1405,0.6788
3.7,1.1432,0.6804
3.75,1.1458,0.6819
3.8,1.1484,0.6834
3.86,1.1511,0.685
3.91,1.1537,0.6865
3.96,1.1564,0.6881
4.02,1.159,0.6896
4.07,1.1617,0.6912
4.12,1.1643,0.6927
4.18,1.1669,0.6942
4.23,1.1696,0.6958
