scenario,trial_id,success,goal_reached,collision_free,time_sec,path_length_m,avg_linear_vel,avg_angular_vel,recovery_count,collision_count,stuck,min_clearance_m,avg_clearance_m,hit_cat,hit_obstacles,avg_traversability,avg_corridor_width
S4,1,0,1,0,33.23,11.75,0.351,0.113,0,1,0,-0.163,1.303,1,obstacle_cat,0.971,362.0
S4,2,0,1,0,33.25,11.79,0.35,0.126,0,1,0,-0.163,1.271,1,obstacle_cat,0.972,362.0
S4,3,0,1,0,33.36,11.82,0.351,0.127,0,1,0,-0.165,1.27,1,obstacle_cat,0.973,362.0
S4,4,0,1,0,34.07,11.79,0.343,0.123,0,1,0,-0.164,1.297,1,obstacle_cat,0.971,362.0
S4,5,0,1,0,33.47,11.78,0.349,0.121,0,1,0,-0.165,1.297,1,obstacle_cat,0.973,362.0
S4,6,0,1,0,33.17,11.79,0.352,0.121,0,1,0,-0.16,1.286,1,obstacle_cat,0.97,362.0
S4,7,0,1,0,33.48,11.8,0.35,0.122,0,1,0,-0.164,1.286,1,obstacle_cat,0.97,362.0
S4,8,0,1,0,33.66,11.81,0.347,0.124,0,1,0,-0.164,1.294,1,obstacle_cat,0.971,362.0
S4,9,0,1,0,33.49,11.77,0.348,0.12,0,1,0,-0.164,1.307,1,obstacle_cat,0.972,362.0
S4,10,0,1,0,33.54,11.82,0.348,0.123,0,1,0,-0.163,1.297,1,obstacle_cat,0.972,362.0
