t,name,x,y
0.01,obstacle_cat,2.83,0.966
0.07,obstacle_cat,2.83,0.966
0.12,obstacle_cat,2.83,0.966
0.18,obstacle_cat,2.83,0.966
0.24,obstacle_cat,2.83,0.966
0.3,obstacle_cat,2.83,0.966
0.35,obstacle_cat,2.83,0.966
0.41,obstacle_cat,2.83,0.966
0.47,obstacle_cat,2.83,0.966
0.52,obstacle_cat,2.83,0.966
0.58,obstacle_cat,2.83,0.966
0.63,obstacle_cat,2.83,0.966
0.69,obstacle_cat,2.83,0.966
0.74,obstacle_cat,2.83,0.966
0.8,obstacle_cat,2.83,0.966
0.85,obstacle_cat,2.83,0.966
0.91,obstacle_cat,2.83,0.966
0.97,obstacle_cat,2.83,0.966
1.02,obstacle_cat,2.83,0.966
1.08,obstacle_cat,2.83,0.966
1.13,obstacle_cat,2.83,0.966
1.19,obstacle_cat,2.83,0.966
1.25,obstacle_cat,2.83,0.966
1.31,obstacle_cat,2.83,0.966
1.37,obstacle_cat,2.83,0.966
1.43,obstacle_cat,2.83,0.966
1.49,obstacle_cat,2.83,0.966
1.54,obstacle_cat,2.83,0.966
1.6,obstacle_cat,2.83,0.966
1.66,obstacle_cat,2.83,0.966
1.72,obstacle_cat,2.83,0.966
1.77,obstacle_cat,2.83,0.966
1.83,obstacle_cat,2.83,0.966
1.89,obstacle_cat,2.83,0.966
1.94,obstacle_cat,2.83,0.966
2.0,obstacle_cat,2.83,0.966
2.06,obstacle_cat,2.83,0.966
2.11,obstacle_cat,2.83,0.966
2.17,obstacle_cat,2.83,0.966
2.23,obstacle_cat,2.83,0.966
2.28,obstacle_cat,2.83,0.966
2.34,obstacle_cat,2.83,0.966
2.4,obstacle_cat,2.83,0.966
2.45,obstacle_cat,2.83,0.966
2.51,obstacle_cat,2.83,0.966
2.57,obstacle_cat,2.83,0.966
2.63,obstacle_cat,2.83,0.966
2.69,obstacle_cat,2.83,0.966
2.74,obstacle_cat,2.83,0.966
2.8,obstacle_cat,2.83,0.966
2.85,obstacle_cat,2.83,0.966
2.91,obstacle_cat,2.83,0.966
2.97,obstacle_cat,2.83,0.966
3.02,obstacle_cat,2.83,0.966
3.08,obstacle_cat,2.83,0.966
3.14,obstacle_cat,2.83,0.966
3.2,obstacle_cat,2.83,0.966
3.26,obstacle_cat,2.83,0.966
3.31,obstacle_cat,2.83,0.966
