t,x,y
0.03,0.0,0.0
0.08,0.0,0.0
0.13,0.0159,-0.0014
0.19,0.0412,-0.0037
0.24,0.0665,-0.0055
0.29,0.0919,-0.0073
0.34,0.1172,-0.0059
0.39,0.1424,-0.0033
0.44,0.1676,-0.0004
0.49,0.1927,0.0026
0.55,0.2163,0.0091
0.6,0.2394,0.0167
0.65,0.2596,0.0272
0.7,0.2791,0.0385
0.75,0.2952,0.0513
0.81,0.3106,0.0647
0.86,0.3267,0.0781
0.91,0.3426,0.0917
0.96,0.3563,0.106
1.01,0.3695,0.1206
1.07,0.3866,0.1346
1.12,0.4036,0.1489
1.17,0.4186,0.1639
1.22,0.4335,0.1792
1.28,0.4496,0.1943
1.33,0.4657,0.2097
1.38,0.4829,0.2248
1.43,0.5002,0.24
1.48,0.5184,0.255
1.53,0.5368,0.27
1.59,0.5559,0.2846
1.64,0.5753,0.2991
1.69,0.596,0.3127
1.74,0.6167,0.3264
1.79,0.6376,0.3399
1.84,0.6585,0.3535
1.9,0.6795,0.367
1.95,0.7005,0.3805
2.0,0.7216,0.394
2.05,0.7427,0.4075
2.1,0.7639,0.421
2.15,0.7852,0.4344
2.21,0.8065,0.4479
2.26,0.8278,0.4613
2.31,0.8491,0.4747
2.36,0.8705,0.4881
2.41,0.892,0.5015
2.46,0.9134,0.5149
2.51,0.9349,0.5282
2.56,0.9564,0.5415
2.62,0.978,0.5549
2.67,0.9995,0.5682
2.72,1.0211,0.5815
2.77,1.0427,0.5948
2.82,1.0643,0.6081
2.88,1.0859,0.6215
2.93,1.1074,0.6349
2.98,1.1289,0.6483
3.03,1.1505,0.6618
3.08,1.172,0.6752
3.13,1.1936,0.6887
3.18,1.2152,0.7021
3.24,1.2367,0.7155
3.29,1.2583,0.7289
3.34,1.2799,0.7424
3.39,1.3015,0.7558
3.44,1.3231,0.7693
3.5,1.3447,0.7827
3.55,1.3663,0.7961
3.6,1.3879,0.8095
3.65,1.4095,0.823
3.7,1.4311,0.8365
3.76,1.4528,0.8498
3.81,1.4755,0.8613
3.86,1.4984,0.8725
3.91,1.5221,0.8812
3.96,1.5447,0.8886
4.01,1.5574,0.8861
4.07,1.5682,0.8835
4.12,1.5686,0.8824
4.17,1.5689,0.8812
4.22,1.5687,0.8794
4.27,1.5685,0.8776
4.32,1.5685,0.8759
4.37,1.5685,0.8743
