t,x,y
0.03,0.0,0.0
0.09,0.0,0.0
0.14,0.0089,-0.0008
0.19,0.0215,-0.0021
0.24,0.0342,-0.0032
0.29,0.0468,-0.0043
0.35,0.0498,-0.0033
0.4,0.05,-0.0016
0.45,0.0607,-0.0001
0.5,0.0733,0.0015
0.55,0.086,0.0009
0.6,0.0986,-0.0
0.65,0.1112,0.0013
0.71,0.1238,0.0029
0.76,0.1364,0.0045
0.81,0.149,0.0062
0.86,0.1603,0.0104
0.91,0.1716,0.0149
0.96,0.183,0.0192
1.02,0.1941,0.0238
1.07,0.2031,0.0301
1.12,0.2121,0.0365
1.17,0.2212,0.0429
1.22,0.23,0.0495
1.27,0.2366,0.0568
1.33,0.2431,0.0641
1.38,0.25,0.0716
1.43,0.2569,0.0792
1.48,0.264,0.0869
1.53,0.2711,0.0947
1.58,0.2786,0.1025
1.63,0.286,0.1105
1.69,0.2937,0.1185
1.74,0.3014,0.1266
1.79,0.3093,0.1347
1.84,0.3175,0.1431
1.89,0.3262,0.1518
1.95,0.3352,0.1607
2.0,0.3448,0.1699
2.05,0.3548,0.1794
2.1,0.3654,0.1892
2.15,0.3765,0.1993
2.2,0.3883,0.2096
2.25,0.4007,0.2202
2.3,0.4138,0.231
2.36,0.4279,0.2422
2.41,0.4428,0.2535
2.46,0.4589,0.2653
2.51,0.4758,0.2772
2.56,0.4931,0.289
2.62,0.5106,0.3006
2.67,0.5283,0.312
2.72,0.5462,0.3234
2.77,0.5647,0.3342
2.82,0.5833,0.3449
2.87,0.602,0.3556
2.92,0.6207,0.3663
2.98,0.6394,0.377
3.03,0.6581,0.3877
3.08,0.6768,0.3984
3.13,0.6954,0.4091
3.18,0.7141,0.4199
3.24,0.7327,0.4306
3.29,0.7514,0.4414
3.34,0.77,0.4521
3.39,0.7887,0.4629
3.44,0.8073,0.4737
3.49,0.8259,0.4845
3.54,0.8446,0.4953
3.59,0.8632,0.5061
3.65,0.8818,0.5169
3.7,0.9004,0.5277
3.75,0.919,0.5385
3.8,0.9376,0.5494
3.85,0.9562,0.5602
3.9,0.9748,0.571
3.95,0.9934,0.5819
4.01,1.0119,0.5929
4.06,1.0304,0.6039
4.11,1.049,0.6149
4.16,1.0675,0.6259
4.21,1.086,0.6369
4.27,1.1045,0.6479
4.32,1.123,0.6589
