t,x,y
0.03,0.0,0.0
0.08,0.0,0.0
0.13,0.0074,-0.0007
0.18,0.02,-0.0019
0.23,0.0327,-0.0031
0.29,0.0453,-0.0042
0.34,0.0579,-0.0038
0.39,0.0705,-0.0024
0.44,0.0832,-0.0011
0.49,0.0958,0.0003
0.54,0.1083,0.0019
0.59,0.1209,0.0035
0.65,0.1334,0.0052
0.7,0.146,0.0069
0.75,0.1575,0.0106
0.8,0.1687,0.0149
0.85,0.1799,0.0192
0.9,0.1912,0.0236
0.95,0.2004,0.0296
1.01,0.2093,0.0358
1.06,0.2184,0.0421
1.11,0.2275,0.0485
1.16,0.2343,0.0555
1.21,0.2408,0.0626
1.26,0.2475,0.0699
1.32,0.2541,0.0774
1.37,0.261,0.0849
1.42,0.2679,0.0926
1.47,0.2752,0.1004
1.53,0.2823,0.1082
1.58,0.2898,0.1162
1.63,0.2973,0.1242
1.68,0.3051,0.1322
1.73,0.313,0.1405
1.78,0.3214,0.149
1.84,0.33,0.1577
1.89,0.3393,0.1668
1.94,0.3488,0.1761
1.99,0.3591,0.1857
2.04,0.3697,0.1956
2.09,0.381,0.2058
2.14,0.3929,0.2162
2.19,0.4056,0.2269
2.25,0.4189,0.2378
2.3,0.4332,0.2491
2.35,0.4484,0.2605
2.4,0.4647,0.2723
2.45,0.4815,0.2841
2.5,0.4988,0.2958
2.56,0.5164,0.3074
2.61,0.5342,0.3187
2.66,0.5525,0.3297
2.71,0.5712,0.3403
2.76,0.5899,0.351
2.81,0.6087,0.3616
2.86,0.6274,0.3722
2.92,0.6461,0.3829
2.97,0.6648,0.3936
3.02,0.6835,0.4042
3.07,0.7021,0.4149
3.12,0.7208,0.4256
3.17,0.7395,0.4363
3.23,0.7582,0.4471
3.28,0.7768,0.4578
3.33,0.7955,0.4685
3.38,0.8141,0.4793
3.43,0.8328,0.49
3.49,0.8514,0.5008
3.54,0.8701,0.5115
3.59,0.8887,0.5223
3.64,0.9074,0.5331
3.69,0.926,0.5439
3.75,0.9446,0.5547
3.8,0.9633,0.5655
3.85,0.9819,0.5763
3.9,1.0005,0.5871
3.95,1.0191,0.5979
4.0,1.0376,0.6089
4.05,1.0561,0.6199
4.11,1.0746,0.6309
4.16,1.0931,0.6419
4.21,1.1116,0.6529
4.26,1.1302,0.6639
4.31,1.1487,0.6748
