scenario,trial_id,success,goal_reached,collision_free,time_sec,path_length_m,avg_linear_vel,avg_angular_vel,recovery_count,collision_count,stuck,min_clearance_m,avg_clearance_m,hit_cat,hit_obstacles,avg_traversability,avg_corridor_width
S5,1,1,1,1,31.02,11.25,0.362,0.083,0,0,0,0.0,0.0,0,none,1.0,362.0
S5,2,1,1,1,30.84,11.26,0.365,0.081,0,0,0,0.0,0.0,0,none,1.0,362.0
S5,3,1,1,1,31.27,11.26,0.359,0.085,0,0,0,0.0,0.0,0,none,1.0,362.0
S5,4,1,1,1,31.06,11.25,0.363,0.082,0,0,0,0.0,0.0,0,none,1.0,362.0
S5,5,1,1,1,31.06,11.24,0.362,0.084,0,0,0,0.0,0.0,0,none,1.0,361.97
S5,6,1,1,1,31.06,11.24,0.361,0.083,0,0,0,0.0,0.0,0,none,1.0,362.0
S5,7,1,1,1,31.15,11.26,0.361,0.084,0,0,0,0.0,0.0,0,none,1.0,362.0
S5,8,1,1,1,30.95,11.23,0.362,0.082,0,0,0,0.0,0.0,0,none,1.0,362.0
S5,9,1,1,1,31.13,11.25,0.36,0.084,0,0,0,0.0,0.0,0,none,1.0,362.0
S5,10,1,1,1,30.87,11.25,0.364,0.081,0,0,0,0.0,0.0,0,none,1.0,362.0
S5,1,1,1,1,31.31,11.23,0.36,0.083,0,0,0,0.0,0.0,0,none,1.0,362.0
