t,x,y
0.02,0.0,0.0
0.07,0.0,0.0
0.13,0.005,-0.0005
0.18,0.0176,-0.0017
0.23,0.0302,-0.0029
0.28,0.0428,-0.004
0.33,0.0555,-0.004
0.39,0.0681,-0.0027
0.44,0.0807,-0.0013
0.49,0.0933,0.0001
0.54,0.1058,0.0016
0.59,0.1184,0.0032
0.64,0.131,0.0048
0.7,0.1435,0.0065
0.75,0.1552,0.0099
0.8,0.1664,0.0142
0.85,0.1776,0.0185
0.9,0.1889,0.0229
0.96,0.1985,0.0286
1.01,0.2073,0.0348
1.06,0.2142,0.0415
1.11,0.2202,0.0485
1.16,0.2266,0.0556
1.22,0.233,0.0628
1.27,0.2397,0.0702
1.32,0.2464,0.0777
1.37,0.2534,0.0853
1.42,0.2604,0.093
1.47,0.2677,0.1008
1.53,0.2749,0.1088
1.58,0.2826,0.1167
1.63,0.2901,0.1248
1.68,0.2977,0.1329
1.73,0.3053,0.1412
1.79,0.3135,0.1497
1.84,0.3217,0.1583
1.89,0.3307,0.1674
1.94,0.3398,0.1766
1.99,0.3498,0.1863
2.04,0.3599,0.1961
2.1,0.371,0.2062
2.15,0.3823,0.2166
2.2,0.3947,0.2273
2.25,0.4074,0.2381
2.31,0.4214,0.2492
2.36,0.4358,0.2606
2.41,0.4517,0.2722
2.46,0.468,0.2839
2.51,0.4854,0.2957
2.57,0.5029,0.3073
2.62,0.5207,0.3187
2.67,0.5386,0.3299
2.72,0.5567,0.341
2.77,0.5752,0.3518
2.82,0.594,0.3622
2.88,0.6129,0.3726
2.93,0.6317,0.383
2.98,0.6505,0.3935
3.03,0.6693,0.404
3.08,0.6881,0.4145
3.14,0.7069,0.425
3.19,0.7257,0.4355
3.24,0.7445,0.446
3.29,0.7633,0.4566
3.34,0.782,0.4672
3.4,0.8008,0.4778
3.45,0.8195,0.4884
3.5,0.8383,0.499
3.56,0.857,0.5096
3.61,0.8757,0.5202
3.66,0.8944,0.5309
3.71,0.9131,0.5415
3.76,0.9318,0.5522
3.82,0.9505,0.5629
3.87,0.9692,0.5735
3.92,0.9879,0.5842
3.97,1.0066,0.5949
4.03,1.0252,0.6058
4.08,1.0437,0.6168
4.13,1.0623,0.6277
4.18,1.0808,0.6387
4.24,1.0994,0.6496
4.29,1.1179,0.6605
4.34,1.1364,0.6715
4.39,1.155,0.6824
4.45,1.1735,0.6934
4.5,1.192,0.7043
4.55,1.2106,0.7153
4.6,1.2291,0.7262
4.65,1.2477,0.7372
4.71,1.2662,0.7481
4.76,1.2848,0.759
4.81,1.3033,0.77
4.86,1.3219,0.7809
4.91,1.3404,0.7919
4.96,1.3589,0.8028
5.02,1.3775,0.8137
5.07,1.396,0.8247
5.12,1.4146,0.8356
5.18,1.4331,0.8466
5.23,1.4519,0.8568
5.28,1.4711,0.8656
5.33,1.4904,0.8741
5.38,1.5099,0.8819
5.44,1.5293,0.8896
5.49,1.5487,0.8972
5.54,1.5655,0.9027
5.59,1.5793,0.9057
5.64,1.5873,0.9063
5.7,1.5897,0.9045
5.75,1.5911,0.9032
5.8,1.5915,0.9024
5.85,1.5919,0.9015
5.9,1.5924,0.9005
5.95,1.5932,0.8992
6.01,1.5941,0.8978
6.06,1.5954,0.8959
6.11,1.5968,0.8939
6.16,1.5987,0.8915
6.22,1.6008,0.8889
6.27,1.6034,0.886
6.32,1.6061,0.8829
6.38,1.6095,0.8794
6.43,1.613,0.8758
6.48,1.6172,0.8718
6.53,1.6215,0.8677
6.58,1.6265,0.8632
6.63,1.6316,0.8586
6.68,1.6375,0.8536
6.74,1.6435,0.8485
6.79,1.6505,0.843
6.84,1.6574,0.8373
6.89,1.6648,0.8314
6.94,1.6722,0.8253
7.0,1.681,0.819
7.05,1.6897,0.8125
7.1,1.6999,0.8059
7.15,1.7103,0.7991
7.2,1.7222,0.7923
7.25,1.7342,0.7854
7.31,1.7476,0.7784
7.36,1.7614,0.7714
7.41,1.7766,0.7643
7.46,1.7922,0.7573
7.51,1.8091,0.7507
7.57,1.8261,0.7443
7.62,1.8436,0.7387
7.67,1.8613,0.7334
7.73,1.8793,0.7289
7.78,1.8974,0.7247
7.83,1.9157,0.7213
7.88,1.9341,0.7183
7.93,1.9526,0.7158
7.99,1.9711,0.7138
8.04,1.9898,0.7125
8.09,2.0084,0.7117
8.14,2.027,0.7115
8.2,2.0456,0.7116
8.25,2.0643,0.7119
8.3,2.0829,0.7124
8.35,2.1015,0.7132
8.4,2.12,0.7144
8.45,2.1385,0.7161
8.51,2.1569,0.7184
8.56,2.1752,0.721
8.61,2.1934,0.7243
8.66,2.2115,0.728
8.71,2.2294,0.7323
8.77,2.2472,0.737
8.82,2.2649,0.7422
8.87,2.2825,0.7477
8.92,2.2999,0.7538
8.97,2.3171,0.7602
9.03,2.3342,0.7672
9.08,2.3513,0.7745
9.13,2.368,0.7824
9.18,2.3846,0.7906
9.24,2.4012,0.7991
9.29,2.4176,0.8079
9.34,2.4338,0.8171
9.39,2.4498,0.8265
9.44,2.4655,0.8362
9.5,2.481,0.8462
9.55,2.4965,0.8564
9.6,2.5118,0.8668
9.65,2.5269,0.8775
9.71,2.5419,0.8884
9.76,2.557,0.8994
9.81,2.572,0.9106
9.86,2.5869,0.922
9.91,2.6018,0.9336
9.97,2.6167,0.9453
10.02,2.6315,0.9572
10.07,2.6463,0.9692
10.12,2.661,0.9814
10.17,2.6759,0.9936
10.23,2.6906,1.006
10.28,2.7051,1.0187
10.33,2.721,1.0303
10.38,2.7398,1.0395
10.43,2.7586,1.049
10.49,2.7771,1.0586
10.54,2.7955,1.0686
10.59,2.8136,1.079
10.64,2.8316,1.0896
10.69,2.8493,1.1005
10.74,2.8657,1.1126
10.8,2.8807,1.126
10.85,2.8957,1.1394
10.9,2.9108,1.1529
10.95,2.9259,1.1664
11.0,2.9411,1.18
11.05,2.9564,1.1936
11.11,2.9718,1.2073
11.16,2.9872,1.2209
11.21,3.0027,1.2346
11.26,3.0183,1.2483
11.32,3.0339,1.2621
11.37,3.0496,1.2758
11.42,3.0653,1.2896
11.47,3.0811,1.3033
11.53,3.0969,1.3171
11.58,3.1128,1.3309
11.63,3.1286,1.3447
11.68,3.1446,1.3585
11.74,3.1606,1.3723
11.79,3.1766,1.3861
11.84,3.1926,1.3999
11.89,3.2087,1.4137
11.95,3.2248,1.4276
12.0,3.2409,1.4414
12.05,3.2571,1.4552
12.1,3.2732,1.4691
12.16,3.2892,1.4831
12.21,3.3054,1.4969
12.26,3.3215,1.5109
12.31,3.3378,1.5248
12.36,3.3539,1.5387
12.41,3.3702,1.5526
12.47,3.3864,1.5665
12.52,3.4027,1.5803
12.57,3.4189,1.5942
12.62,3.4353,1.6081
12.67,3.4516,1.622
12.73,3.4679,1.6358
12.78,3.4843,1.6497
12.83,3.5006,1.6636
12.88,3.517,1.6774
12.93,3.5334,1.6913
12.99,3.5498,1.7051
13.04,3.5662,1.7189
13.09,3.5826,1.7328
13.14,3.5991,1.7466
13.19,3.6155,1.7604
13.25,3.632,1.7742
13.3,3.6484,1.788
13.35,3.6649,1.8019
13.4,3.6814,1.8157
13.46,3.6979,1.8295
13.51,3.7144,1.8432
13.56,3.7308,1.857
13.61,3.7474,1.8708
13.66,3.7639,1.8846
13.72,3.7804,1.8984
13.77,3.7969,1.9122
13.82,3.8134,1.9259
13.87,3.83,1.9397
13.92,3.8465,1.9535
13.98,3.8631,1.9672
14.03,3.8796,1.981
14.08,3.8962,1.9947
14.13,3.9127,2.0085
14.19,3.9293,2.0222
14.24,3.9459,2.0359
14.29,3.9624,2.0497
14.34,3.979,2.0634
14.39,3.9956,2.0772
14.45,4.0122,2.0909
14.5,4.0287,2.1046
14.55,4.0453,2.1183
14.6,4.0619,2.132
14.65,4.0785,2.1457
14.71,4.0951,2.1595
14.76,4.1117,2.1732
14.81,4.1283,2.1869
14.86,4.1449,2.2006
14.92,4.1615,2.2143
14.97,4.1781,2.228
15.02,4.1947,2.2417
15.07,4.2113,2.2554
15.12,4.2279,2.2691
15.18,4.2446,2.2828
15.23,4.2612,2.2965
15.28,4.2778,2.3102
15.33,4.2944,2.3239
15.39,4.3111,2.3376
15.44,4.3276,2.3513
15.49,4.3441,2.3651
15.54,4.3606,2.379
15.6,4.3771,2.3928
15.65,4.3936,2.4066
15.7,4.4102,2.4204
15.75,4.4267,2.4343
15.81,4.4432,2.4481
15.86,4.4597,2.4619
15.91,4.4762,2.4757
15.96,4.4928,2.4895
16.02,4.5093,2.5032
16.07,4.5259,2.517
16.12,4.5424,2.5308
16.17,4.559,2.5446
16.22,4.5755,2.5583
16.27,4.5921,2.5721
16.33,4.6087,2.5858
16.38,4.6252,2.5996
16.43,4.6418,2.6133
16.48,4.6584,2.6271
16.54,4.675,2.6408
16.59,4.6916,2.6546
16.64,4.7081,2.6683
16.69,4.7247,2.682
16.74,4.7413,2.6957
16.79,4.7579,2.7094
16.85,4.7746,2.7231
16.9,4.7912,2.7368
16.95,4.8078,2.7505
17.0,4.8244,2.7642
17.05,4.841,2.7779
17.11,4.8576,2.7916
17.16,4.8743,2.8053
17.21,4.8909,2.819
17.27,4.9075,2.8326
17.32,4.9242,2.8463
17.37,4.9408,2.86
17.42,4.9574,2.8737
17.47,4.9741,2.8873
17.53,4.9907,2.901
17.58,5.0074,2.9146
17.63,5.024,2.9283
17.68,5.0407,2.9419
17.73,5.0574,2.9556
17.78,5.074,2.9692
17.84,5.0907,2.9828
17.89,5.1074,2.9965
17.94,5.124,3.0101
17.99,5.1407,3.0237
18.04,5.1574,3.0373
18.1,5.1741,3.051
18.15,5.1908,3.0646
18.2,5.2074,3.0782
18.25,5.2241,3.0918
18.31,5.2408,3.1054
18.36,5.2575,3.119
18.41,5.2742,3.1326
18.46,5.2909,3.1462
18.52,5.3076,3.1597
18.57,5.3244,3.1733
18.62,5.3411,3.1869
18.67,5.3578,3.2005
18.72,5.3745,3.214
18.78,5.3912,3.2276
18.83,5.4079,3.2412
18.88,5.4247,3.2547
18.93,5.4414,3.2683
18.99,5.4581,3.2818
19.04,5.4749,3.2954
19.09,5.4916,3.3089
19.14,5.5083,3.3225
19.2,5.5251,3.336
19.25,5.5418,3.3496
19.3,5.5586,3.3631
19.36,5.5753,3.3766
19.41,5.5921,3.3902
19.46,5.6088,3.4037
19.51,5.6256,3.4172
19.57,5.6424,3.4307
19.62,5.6591,3.4442
19.67,5.6759,3.4577
19.73,5.6927,3.4713
19.78,5.7094,3.4848
19.83,5.7262,3.4983
19.88,5.743,3.5118
19.93,5.7597,3.5253
19.99,5.7765,3.5388
20.04,5.7933,3.5523
20.09,5.8101,3.5657
20.14,5.8269,3.5792
20.2,5.8437,3.5927
20.25,5.8605,3.6062
20.3,5.8773,3.6197
20.35,5.894,3.6331
20.4,5.9108,3.6466
20.46,5.9276,3.6601
20.51,5.9444,3.6735
20.56,5.9612,3.687
20.61,5.978,3.7006
20.67,5.9947,3.7141
20.72,6.0115,3.7276
20.77,6.0282,3.7411
20.82,6.045,3.7547
20.87,6.0618,3.7682
20.93,6.0785,3.7817
20.98,6.0953,3.7952
21.03,6.1121,3.8087
21.08,6.1288,3.8222
21.13,6.1456,3.8358
21.19,6.1624,3.8493
21.24,6.1791,3.8628
21.29,6.1959,3.8763
21.34,6.2127,3.8897
21.4,6.2295,3.9032
21.45,6.2463,3.9167
21.5,6.2631,3.9302
21.55,6.2798,3.9437
21.61,6.2966,3.9572
21.66,6.3134,3.9706
21.72,6.3302,3.9841
21.77,6.347,3.9976
21.82,6.3638,4.0111
21.87,6.3806,4.0245
21.92,6.3974,4.038
21.98,6.4143,4.0514
22.03,6.4311,4.0649
22.08,6.4479,4.0783
22.13,6.4647,4.0918
22.18,6.4815,4.1052
22.24,6.4983,4.1187
22.29,6.5152,4.1321
22.34,6.532,4.1455
22.39,6.5488,4.159
22.44,6.5657,4.1724
22.5,6.5825,4.1858
22.55,6.5993,4.1993
22.6,6.6162,4.2127
22.65,6.633,4.2261
22.71,6.6498,4.2395
22.76,6.6667,4.2529
22.81,6.6835,4.2663
22.86,6.7004,4.2798
22.91,6.7172,4.2932
22.97,6.7341,4.3066
23.02,6.7509,4.32
23.07,6.7678,4.3333
23.12,6.7847,4.3467
23.18,6.8015,4.3601
23.23,6.8184,4.3735
23.28,6.8353,4.3869
23.34,6.8521,4.4003
23.39,6.869,4.4136
23.44,6.8859,4.427
23.49,6.9028,4.4404
23.55,6.9197,4.4537
23.6,6.9365,4.4671
23.65,6.9534,4.4805
23.7,6.9703,4.4938
23.75,6.9872,4.5072
23.81,7.0041,4.5205
23.86,7.021,4.5339
23.91,7.0379,4.5472
23.96,7.0548,4.5606
24.02,7.0717,4.5739
24.07,7.0886,4.5872
24.12,7.1055,4.6006
24.17,7.1224,4.6139
24.22,7.1393,4.6272
24.28,7.1563,4.6405
24.33,7.1732,4.6539
24.38,7.1901,4.6672
24.43,7.207,4.6805
24.48,7.2239,4.6938
24.54,7.2409,4.7071
24.59,7.2578,4.7204
24.64,7.2747,4.7337
24.69,7.2917,4.747
24.75,7.3086,4.7603
24.8,7.3255,4.7736
24.85,7.3425,4.7869
24.9,7.3594,4.8002
24.96,7.3764,4.8135
25.01,7.3933,4.8268
25.06,7.4103,4.8401
25.11,7.4272,4.8533
25.17,7.4442,4.8666
25.22,7.4611,4.8799
25.27,7.4781,4.8931
25.32,7.495,4.9064
25.37,7.512,4.9197
25.43,7.529,4.9329
25.48,7.5459,4.9462
25.53,7.5629,4.9595
25.58,7.5799,4.9727
25.64,7.5968,4.986
25.69,7.6138,4.9992
25.74,7.6309,5.0123
25.79,7.648,5.0254
25.84,7.6651,5.0385
25.9,7.6822,5.0516
25.95,7.6992,5.0647
26.0,7.7163,5.0779
26.06,7.7334,5.091
26.11,7.7504,5.1041
26.16,7.7675,5.1173
26.21,7.7845,5.1304
26.27,7.8016,5.1436
26.32,7.8186,5.1567
26.37,7.8357,5.1699
26.42,7.8527,5.183
26.47,7.8698,5.1962
26.52,7.8868,5.2094
26.58,7.9038,5.2225
26.63,7.9209,5.2357
26.68,7.9379,5.2489
26.73,7.9549,5.262
26.78,7.972,5.2752
26.84,7.989,5.2884
26.89,8.006,5.3016
26.94,8.0231,5.3148
26.99,8.0401,5.3279
27.05,8.0571,5.3411
27.1,8.0741,5.3543
27.15,8.0912,5.3675
27.2,8.1082,5.3807
27.26,8.1252,5.3938
27.31,8.1422,5.407
27.36,8.1593,5.4202
27.42,8.1763,5.4334
27.47,8.1933,5.4466
27.52,8.2103,5.4598
27.57,8.2274,5.473
27.63,8.2444,5.4861
27.68,8.2614,5.4993
27.73,8.2784,5.5125
27.78,8.2955,5.5257
27.84,8.3125,5.5389
27.89,8.3295,5.5521
27.94,8.3465,5.5652
27.99,8.3636,5.5784
28.04,8.3806,5.5916
28.09,8.3976,5.6048
28.15,8.4147,5.618
28.2,8.4317,5.6311
28.25,8.4487,5.6443
28.3,8.4657,5.6575
28.35,8.4828,5.6707
28.41,8.4998,5.6838
28.46,8.5168,5.697
28.51,8.5338,5.7103
28.57,8.5507,5.7236
28.62,8.5677,5.7369
28.67,8.5845,5.7503
28.72,8.6013,5.7638
28.78,8.6179,5.7774
28.83,8.6343,5.7914
28.88,8.6506,5.8054
28.93,8.6669,5.8195
28.99,8.6833,5.8335
29.04,8.6996,5.8475
29.09,8.7159,5.8615
29.14,8.7323,5.8755
29.19,8.7486,5.8895
29.25,8.765,5.9035
29.3,8.7813,5.9175
29.35,8.7977,5.9315
29.41,8.814,5.9455
29.46,8.8304,5.9595
29.51,8.8467,5.9735
29.56,8.8631,5.9875
29.62,8.8794,6.0015
29.67,8.8958,6.0155
29.72,8.9121,6.0295
29.77,8.9285,6.0435
29.82,8.9437,6.0565
29.87,8.9586,6.0692
29.93,8.9719,6.0806
29.98,8.9848,6.0916
30.03,8.9963,6.1014
30.08,9.0076,6.1111
30.14,9.0085,6.1121
30.19,9.0084,6.1121
30.24,9.0083,6.1122
30.29,9.0082,6.1123
30.35,9.0081,6.1123
30.4,9.008,6.1124
30.45,9.0079,6.1125
30.5,9.0078,6.1126
30.55,9.0077,6.1126
30.6,9.0076,6.1127
30.65,9.0075,6.1128
30.71,9.0074,6.1128
30.76,9.0073,6.1129
30.81,9.0072,6.113
30.86,9.0072,6.113
30.92,9.0071,6.1131
30.97,9.007,6.1131
31.02,9.007,6.1132
31.07,9.0069,6.1133
31.12,9.0068,6.1133
31.17,9.0068,6.1134
31.23,9.0067,6.1134
31.28,9.0067,6.1135
