t,trav_lidar,trav_thermal_filt,trav_eff
0.104,1.0,1.0,1.0
0.205,1.0,1.0,1.0
0.308,1.0,1.0,1.0
0.409,1.0,1.0,1.0
0.511,1.0,1.0,1.0
0.612,1.0,1.0,1.0
0.713,1.0,1.0,1.0
0.815,1.0,1.0,1.0
0.918,1.0,1.0,1.0
1.019,1.0,1.0,1.0
1.12,1.0,1.0,1.0
1.223,1.0,1.0,1.0
1.324,1.0,1.0,1.0
1.425,1.0,1.0,1.0
1.528,1.0,1.0,1.0
1.629,1.0,1.0,1.0
1.73,1.0,1.0,1.0
1.832,1.0,1.0,1.0
1.933,1.0,1.0,1.0
2.036,1.0,1.0,1.0
2.14,1.0,1.0,1.0
2.242,1.0,1.0,1.0
2.344,1.0,1.0,1.0
2.445,1.0,1.0,1.0
2.547,1.0,1.0,1.0
2.649,1.0,1.0,1.0
2.75,1.0,1.0,1.0
2.85,1.0,1.0,1.0
2.952,1.0,1.0,1.0
3.054,1.0,1.0,1.0
3.156,1.0,1.0,1.0
3.259,1.0,1.0,1.0
3.362,1.0,1.0,1.0
3.464,1.0,1.0,1.0
3.568,1.0,1.0,1.0
3.67,1.0,1.0,1.0
3.772,1.0,1.0,1.0
3.874,1.0,1.0,1.0
3.979,1.0,1.0,1.0
4.083,1.0,1.0,1.0
4.185,1.0,0.9997,0.9997
4.288,1.0,0.9996,0.9996
4.389,1.0,0.9989,0.9989
4.492,1.0,0.9986,0.9986
4.594,1.0,0.9985,0.9985
4.696,1.0,0.9976,0.9976
4.798,1.0,0.9972,0.9972
4.899,1.0,0.997,0.997
5.002,1.0,0.9959,0.9959
5.105,1.0,0.9953,0.9953
5.207,1.0,0.9943,0.9943
5.311,1.0,0.9938,0.9938
5.413,1.0,0.9935,0.9935
5.514,1.0,0.9934,0.9934
5.616,1.0,0.9944,0.9944
5.717,1.0,0.9951,0.9951
5.818,1.0,0.9957,0.9957
5.919,1.0,0.9966,0.9966
6.02,1.0,0.9972,0.9972
6.125,1.0,0.9978,0.9978
6.227,1.0,0.9982,0.9982
6.33,1.0,0.9986,0.9986
6.433,1.0,0.9989,0.9989
6.534,1.0,0.9991,0.9991
6.636,1.0,0.9993,0.9993
6.737,1.0,0.9994,0.9994
6.84,1.0,0.9995,0.9995
6.941,1.0,0.9996,0.9996
7.043,1.0,0.9997,0.9997
7.144,1.0,0.9998,0.9998
7.246,1.0,0.9998,0.9998
7.349,1.0,0.9998,0.9998
7.45,1.0,0.9999,0.9999
7.553,1.0,0.9999,0.9999
7.655,1.0,0.9999,0.9999
7.757,1.0,0.9999,0.9999
7.859,1.0,1.0,1.0
7.961,1.0,1.0,1.0
8.064,1.0,1.0,1.0
8.167,1.0,1.0,1.0
8.271,1.0,1.0,1.0
8.372,1.0,1.0,1.0
8.473,1.0,1.0,1.0
8.576,1.0,1.0,1.0
8.678,1.0,1.0,1.0
8.779,1.0,1.0,1.0
8.882,1.0,1.0,1.0
8.983,1.0,1.0,1.0
9.086,1.0,1.0,1.0
9.189,1.0,1.0,1.0
9.292,1.0,1.0,1.0
9.394,1.0,1.0,1.0
9.495,1.0,1.0,1.0
9.598,1.0,1.0,1.0
9.7,1.0,1.0,1.0
9.801,1.0,1.0,1.0
9.903,1.0,1.0,1.0
10.007,1.0,1.0,1.0
10.108,1.0,1.0,1.0
10.208,1.0,1.0,1.0
10.311,1.0,1.0,1.0
10.412,1.0,1.0,1.0
10.515,1.0,1.0,1.0
10.616,1.0,1.0,1.0
10.716,1.0,1.0,1.0
10.819,1.0,1.0,1.0
10.92,1.0,1.0,1.0
11.022,1.0,1.0,1.0
11.124,1.0,1.0,1.0
11.227,1.0,1.0,1.0
11.33,1.0,1.0,1.0
11.432,1.0,1.0,1.0
11.535,1.0,1.0,1.0
11.638,1.0,1.0,1.0
11.741,1.0,1.0,1.0
11.846,1.0,1.0,1.0
11.948,1.0,1.0,1.0
12.05,1.0,1.0,1.0
12.152,1.0,1.0,1.0
12.254,1.0,1.0,1.0
12.356,1.0,1.0,1.0
12.456,1.0,1.0,1.0
12.561,1.0,1.0,1.0
12.662,1.0,1.0,1.0
12.764,1.0,1.0,1.0
12.864,1.0,1.0,1.0
12.968,1.0,1.0,1.0
13.068,1.0,1.0,1.0
13.172,1.0,1.0,1.0
13.273,1.0,1.0,1.0
13.376,1.0,1.0,1.0
13.48,1.0,1.0,1.0
13.583,1.0,1.0,1.0
13.684,1.0,1.0,1.0
13.785,1.0,1.0,1.0
13.887,1.0,1.0,1.0
13.989,1.0,1.0,1.0
14.094,1.0,1.0,1.0
14.196,1.0,1.0,1.0
14.296,1.0,1.0,1.0
14.398,1.0,1.0,1.0
14.5,1.0,1.0,1.0
14.603,1.0,1.0,1.0
14.705,1.0,1.0,1.0
14.808,1.0,1.0,1.0
14.91,1.0,1.0,1.0
15.012,1.0,1.0,1.0
15.115,1.0,1.0,1.0
