t,x,y
0.02,0.0,0.0
0.07,0.0,0.0
0.13,0.0062,-0.0006
0.18,0.0188,-0.0018
0.23,0.0314,-0.003
0.28,0.0441,-0.0041
0.33,0.0567,-0.0055
0.38,0.0693,-0.007
0.43,0.0819,-0.0069
0.49,0.0945,-0.0057
0.54,0.0991,-0.0042
0.59,0.0994,-0.0025
0.64,0.1084,-0.001
0.69,0.121,0.0006
0.74,0.1336,0.0021
0.79,0.1462,0.0037
0.85,0.1579,0.0073
0.9,0.1694,0.0115
0.95,0.1808,0.0157
1.0,0.1923,0.02
1.05,0.2019,0.0259
1.1,0.2111,0.0322
1.15,0.2179,0.0391
1.2,0.2243,0.0462
1.26,0.2311,0.0534
1.31,0.2378,0.0608
1.36,0.2448,0.0683
1.41,0.2518,0.0759
1.46,0.2589,0.0837
1.51,0.2659,0.0915
1.56,0.2733,0.0994
1.62,0.2805,0.1074
1.67,0.2882,0.1155
1.72,0.2957,0.1237
1.77,0.3036,0.1318
1.82,0.3115,0.1401
1.87,0.3199,0.1487
1.93,0.3285,0.1575
1.98,0.3378,0.1667
2.03,0.3474,0.176
2.08,0.3577,0.1857
2.13,0.3683,0.1956
2.18,0.3797,0.2059
2.23,0.3915,0.2163
2.29,0.4042,0.2271
2.34,0.4175,0.238
2.39,0.4318,0.2493
2.44,0.447,0.2608
2.49,0.4633,0.2725
2.55,0.48,0.2843
2.6,0.4974,0.296
2.65,0.515,0.3076
2.7,0.5328,0.319
2.75,0.5511,0.33
2.8,0.5699,0.3406
2.85,0.5886,0.3512
2.9,0.6073,0.3618
2.96,0.6261,0.3724
3.01,0.6448,0.383
3.06,0.6635,0.3937
3.11,0.6822,0.4043
3.16,0.7009,0.415
3.21,0.7196,0.4257
3.27,0.7383,0.4364
3.32,0.757,0.4471
3.37,0.7757,0.4578
3.42,0.7944,0.4685
3.47,0.813,0.4792
3.52,0.8317,0.4899
3.57,0.8503,0.5007
3.62,0.869,0.5114
3.67,0.8877,0.5222
3.73,0.9063,0.533
3.78,0.9249,0.5437
3.83,0.9436,0.5545
3.89,0.9622,0.5653
3.94,0.9809,0.5761
3.99,0.9995,0.5869
4.04,1.0181,0.5977
4.09,1.0367,0.6085
4.14,1.0554,0.6193
4.19,1.074,0.6301
4.24,1.0926,0.6409
4.29,1.1113,0.6517
4.35,1.1299,0.6625
4.4,1.1482,0.6738
4.45,1.1666,0.685
4.5,1.1849,0.6963
4.55,1.2032,0.7075
4.61,1.2216,0.7188
4.66,1.2399,0.7301
4.71,1.2583,0.7413
4.76,1.2766,0.7526
4.81,1.295,0.7638
4.87,1.3133,0.7751
4.92,1.3317,0.7863
4.97,1.3501,0.7976
5.02,1.3684,0.8088
5.07,1.3868,0.82
5.13,1.4051,0.8313
5.18,1.4241,0.8396
5.23,1.4439,0.8442
5.28,1.4631,0.847
5.33,1.4816,0.8479
5.38,1.4972,0.8475
5.44,1.5102,0.8457
5.49,1.5215,0.8434
5.54,1.5316,0.8408
5.59,1.5401,0.8376
5.65,1.5476,0.834
5.7,1.5549,0.8302
5.75,1.562,0.8262
5.8,1.5693,0.822
5.85,1.5767,0.8177
5.9,1.5841,0.8132
5.95,1.5914,0.8086
6.01,1.5989,0.8038
6.06,1.6063,0.7989
6.11,1.6139,0.7938
6.16,1.6215,0.7886
6.21,1.6295,0.7834
6.26,1.6374,0.7779
6.31,1.6444,0.7746
6.37,1.6513,0.7714
6.42,1.6563,0.7676
6.47,1.661,0.7636
6.52,1.6704,0.7593
6.57,1.6801,0.7548
6.62,1.6921,0.7508
6.68,1.7042,0.7467
6.73,1.7159,0.7415
6.78,1.7277,0.7362
6.83,1.7424,0.7305
6.88,1.7565,0.7244
6.94,1.7672,0.7165
6.99,1.7772,0.7087
7.04,1.7837,0.7021
7.09,1.79,0.6954
7.15,1.7961,0.6881
7.2,1.8025,0.6806
7.25,1.81,0.6726
7.3,1.8179,0.6643
7.35,1.8271,0.6558
7.4,1.8355,0.648
7.46,1.8426,0.6419
7.51,1.8498,0.6354
7.56,1.857,0.6285
7.61,1.8644,0.6214
7.66,1.8722,0.6139
7.71,1.8792,0.6072
7.76,1.885,0.6022
7.82,1.8907,0.5969
7.87,1.8963,0.5912
7.92,1.9022,0.5852
7.97,1.9084,0.579
8.02,1.9149,0.5727
8.07,1.9217,0.5663
8.12,1.9291,0.5597
8.18,1.9369,0.5529
8.23,1.9453,0.546
8.28,1.9541,0.5389
8.33,1.9637,0.5316
8.38,1.9736,0.5242
8.43,1.9844,0.5167
8.48,1.9956,0.5092
8.54,2.0078,0.5015
8.59,2.0204,0.4939
8.64,2.0342,0.4863
8.69,2.0482,0.4787
8.74,2.0636,0.4714
8.79,2.0792,0.464
8.84,2.096,0.4572
8.89,2.113,0.4505
8.95,2.1248,0.4444
9.0,2.1362,0.4383
9.05,2.1485,0.432
9.1,2.161,0.4257
9.15,2.1747,0.4195
9.2,2.1886,0.4134
9.25,2.2031,0.4074
9.31,2.2177,0.4014
9.36,2.2337,0.396
9.41,2.2499,0.3908
9.46,2.2673,0.3863
9.51,2.2847,0.382
9.57,2.3022,0.3787
9.62,2.3197,0.3756
9.67,2.3372,0.3734
9.72,2.3547,0.3714
9.77,2.3723,0.3699
9.82,2.3897,0.3689
9.87,2.4071,0.3687
9.93,2.4244,0.3689
9.98,2.4415,0.3695
10.03,2.4588,0.3703
10.08,2.4761,0.3711
10.13,2.4934,0.3718
10.18,2.511,0.3722
10.23,2.5287,0.3703
10.29,2.5465,0.3651
10.34,2.5634,0.3587
10.39,2.5791,0.3505
10.45,2.5887,0.3433
10.5,2.5922,0.3368
10.55,2.595,0.3314
10.6,2.5974,0.3268
10.65,2.6006,0.3232
10.7,2.6045,0.3202
10.75,2.6077,0.3175
10.8,2.6105,0.3149
10.86,2.6126,0.3126
10.91,2.6142,0.3105
10.96,2.6158,0.3085
11.01,2.6173,0.3067
11.07,2.6188,0.3051
11.11,2.6203,0.3035
11.17,2.6216,0.3022
11.22,2.6228,0.3009
11.27,2.6238,0.2997
11.32,2.6248,0.2986
11.37,2.6258,0.2976
11.42,2.6266,0.2966
11.48,2.6274,0.2958
11.53,2.6282,0.295
11.58,2.6289,0.2942
11.63,2.6295,0.2935
11.68,2.6301,0.2929
11.73,2.6307,0.2923
11.78,2.6312,0.2917
11.83,2.6318,0.2911
11.89,2.6322,0.2906
11.94,2.6327,0.2901
11.99,2.6331,0.2897
12.04,2.6335,0.2893
12.09,2.6339,0.2889
12.14,2.6342,0.2885
12.2,2.6345,0.2882
12.25,2.6348,0.2879
12.3,2.6351,0.2876
12.35,2.6354,0.2873
12.4,2.6356,0.2871
12.45,2.6358,0.2869
12.5,2.636,0.2867
12.56,2.6362,0.2865
12.61,2.6364,0.2863
12.66,2.6365,0.2862
12.71,2.6367,0.286
12.76,2.6368,0.2859
12.82,2.6369,0.2858
12.87,2.637,0.2857
12.92,2.6372,0.2857
12.97,2.6373,0.2856
13.02,2.6374,0.2856
13.08,2.6374,0.2856
13.13,2.6375,0.2856
13.18,2.6376,0.2856
13.23,2.6376,0.2856
13.28,2.6377,0.2856
13.34,2.6377,0.2856
13.39,2.6377,0.2855
13.44,2.6378,0.2855
13.49,2.6378,0.2854
13.54,2.6378,0.2854
13.59,2.6379,0.2853
13.64,2.6379,0.2852
13.7,2.638,0.2852
13.75,2.638,0.2851
13.8,2.6381,0.285
13.85,2.6381,0.2849
13.9,2.6382,0.2848
13.95,2.6382,0.2847
14.0,2.6383,0.2846
14.06,2.6383,0.2846
14.11,2.6384,0.2845
14.16,2.6385,0.2844
14.21,2.6385,0.2843
14.26,2.6386,0.2842
14.31,2.6387,0.2842
14.36,2.6387,0.2841
14.41,2.6388,0.284
14.47,2.6389,0.2839
14.52,2.6389,0.2839
14.57,2.639,0.2838
14.62,2.6391,0.2838
14.67,2.6392,0.2837
14.72,2.6392,0.2836
14.77,2.6393,0.2836
14.83,2.6393,0.2835
14.88,2.6394,0.2834
14.93,2.6395,0.2833
14.98,2.6395,0.2833
15.04,2.6396,0.2832
15.09,2.6397,0.2831
15.14,2.6397,0.2831
15.19,2.6398,0.283
15.24,2.6399,0.2829
15.29,2.6409,0.2818
15.35,2.6436,0.279
15.4,2.6464,0.2763
15.45,2.6491,0.2737
15.5,2.6519,0.271
15.55,2.6547,0.2683
15.6,2.6575,0.2655
15.65,2.6604,0.2627
15.71,2.6632,0.2599
15.76,2.6661,0.2571
15.81,2.6689,0.2544
15.86,2.6717,0.2517
15.91,2.6744,0.2491
15.96,2.6772,0.2466
16.02,2.6799,0.2441
16.07,2.6826,0.2416
16.12,2.6853,0.2392
16.17,2.688,0.2368
16.22,2.6905,0.2345
16.27,2.6932,0.2322
16.32,2.6938,0.2322
16.38,2.694,0.2327
16.43,2.694,0.2331
16.48,2.6941,0.2335
16.53,2.6941,0.2339
16.58,2.6941,0.2342
16.63,2.6941,0.2345
16.68,2.6941,0.2348
16.74,2.6941,0.2351
16.79,2.694,0.2353
16.84,2.6959,0.2309
16.89,2.6978,0.2263
16.94,2.6981,0.2264
16.99,2.6985,0.2266
17.04,2.6987,0.2271
17.1,2.6989,0.2277
17.15,2.6991,0.2281
17.2,2.6993,0.2285
17.25,2.6994,0.2289
17.3,2.6994,0.2292
17.35,2.6995,0.2295
17.4,2.6995,0.2297
17.46,2.6996,0.23
17.51,2.6996,0.2302
17.56,2.6996,0.2303
17.61,2.6996,0.2305
17.66,2.6996,0.2306
17.71,2.6995,0.2308
17.77,2.6995,0.2309
17.82,2.6995,0.231
17.87,2.6995,0.2311
17.92,2.6995,0.2312
17.98,2.6994,0.2313
18.03,2.6994,0.2314
18.08,2.6994,0.2314
18.13,2.6994,0.2315
18.18,2.6994,0.2316
18.23,2.6994,0.2316
18.28,2.6994,0.2317
18.34,2.6994,0.2317
18.39,2.6993,0.2318
18.44,2.6994,0.2318
18.49,2.6994,0.2319
18.54,2.6994,0.2319
18.59,2.6994,0.2319
18.64,2.6994,0.232
18.7,2.6994,0.232
18.75,2.6994,0.232
18.8,2.6995,0.232
18.85,2.6995,0.2321
18.91,2.6995,0.2321
18.96,2.6996,0.2321
19.01,2.6996,0.2321
19.06,2.6996,0.2321
19.11,2.6997,0.2322
19.16,2.6997,0.2322
19.21,2.6998,0.2322
19.26,2.6998,0.2322
19.31,2.6999,0.2322
19.37,2.6999,0.2322
19.42,2.7,0.2322
19.47,2.7,0.2322
19.52,2.7001,0.2322
19.57,2.7001,0.2322
19.62,2.7002,0.2322
19.67,2.7003,0.2322
19.73,2.7003,0.2322
19.78,2.7004,0.2322
19.83,2.7005,0.2322
19.88,2.7005,0.2322
19.93,2.7006,0.2322
19.98,2.7007,0.2322
20.04,2.7007,0.2322
20.09,2.7008,0.2322
20.14,2.7009,0.2322
20.19,2.7009,0.2322
20.24,2.701,0.2322
20.29,2.7011,0.2322
20.35,2.7012,0.2321
20.4,2.7017,0.2317
20.45,2.7075,0.2368
20.5,2.7225,0.2514
20.55,2.7386,0.2648
20.61,2.7563,0.2765
20.66,2.7742,0.2879
20.71,2.7923,0.299
20.76,2.8105,0.3099
20.81,2.8287,0.3206
20.86,2.847,0.3312
20.91,2.8654,0.3418
20.97,2.8837,0.3523
21.02,2.902,0.3629
21.07,2.9202,0.3736
21.12,2.9384,0.3844
21.17,2.9565,0.3954
21.23,2.9745,0.4065
21.28,2.9923,0.4179
21.33,3.01,0.4294
21.38,3.0276,0.4412
21.43,3.045,0.4532
21.48,3.0622,0.4655
21.53,3.0792,0.478
21.58,3.0961,0.4907
21.64,3.1128,0.5036
21.69,3.1294,0.5166
21.74,3.1459,0.5298
21.79,3.1622,0.5431
21.84,3.1785,0.5566
21.89,3.1946,0.5701
21.94,3.2106,0.5838
22.0,3.2267,0.5975
22.05,3.2426,0.6113
22.1,3.2585,0.6252
22.15,3.2742,0.6392
22.2,3.29,0.6532
22.25,3.3052,0.6675
22.31,3.3141,0.6841
22.36,3.3229,0.7009
22.41,3.3315,0.7178
22.46,3.3411,0.7342
22.51,3.3575,0.7477
22.56,3.3725,0.7619
22.61,3.3818,0.779
22.67,3.3909,0.7962
22.72,3.4001,0.8135
22.77,3.4114,0.8296
22.82,3.4282,0.8425
22.87,3.443,0.8568
22.93,3.4533,0.8741
22.98,3.4636,0.8914
23.03,3.4742,0.9088
23.08,3.485,0.9261
23.13,3.4963,0.9434
23.18,3.509,0.96
23.24,3.5239,0.9755
23.29,3.5389,0.991
23.34,3.5539,1.0064
23.39,3.569,1.0218
23.44,3.584,1.0371
23.5,3.5991,1.0525
23.55,3.6142,1.0678
23.6,3.6294,1.0831
23.65,3.6445,1.0984
23.7,3.6597,1.1137
23.75,3.6749,1.129
23.8,3.69,1.1442
23.86,3.7052,1.1595
23.91,3.7205,1.1747
23.96,3.7357,1.1899
24.01,3.751,1.2051
24.06,3.7662,1.2203
24.11,3.7815,1.2355
24.17,3.7968,1.2507
24.22,3.8121,1.2658
24.27,3.8274,1.281
24.32,3.8427,1.2961
24.37,3.858,1.3112
24.42,3.8734,1.3263
24.47,3.8887,1.3414
24.53,3.9041,1.3565
24.58,3.9195,1.3716
24.63,3.9348,1.3867
24.68,3.9502,1.4018
24.73,3.9656,1.4168
24.79,3.981,1.4319
24.84,3.9964,1.4469
24.89,4.0118,1.462
24.94,4.0272,1.477
24.99,4.0426,1.492
25.04,4.0581,1.5071
25.09,4.0735,1.5221
25.15,4.089,1.5371
25.2,4.1044,1.5521
25.25,4.1199,1.567
25.3,4.1354,1.582
25.35,4.1508,1.597
25.4,4.1663,1.612
25.46,4.1817,1.627
25.51,4.1971,1.642
25.56,4.2125,1.6571
25.61,4.228,1.6721
25.66,4.2434,1.6871
25.71,4.2588,1.7021
25.76,4.2743,1.7171
25.82,4.2897,1.7322
25.87,4.3052,1.7472
25.92,4.3206,1.7621
25.97,4.3361,1.7771
26.03,4.3515,1.7921
26.08,4.367,1.8071
26.13,4.3825,1.8221
26.18,4.398,1.837
26.23,4.4135,1.852
26.28,4.4289,1.867
26.33,4.4444,1.8819
26.39,4.4599,1.8968
26.44,4.4755,1.9118
26.49,4.491,1.9267
26.54,4.5065,1.9417
26.59,4.522,1.9566
26.64,4.5375,1.9715
26.7,4.553,1.9864
26.75,4.5686,2.0013
26.8,4.5841,2.0163
26.85,4.5996,2.0312
26.9,4.6152,2.0461
26.95,4.6307,2.061
27.01,4.6463,2.0759
27.06,4.6618,2.0907
27.11,4.6774,2.1056
27.16,4.693,2.1205
27.21,4.7085,2.1354
27.26,4.7241,2.1503
27.31,4.7397,2.1651
27.37,4.7552,2.18
27.42,4.7708,2.1949
27.47,4.7864,2.2097
27.52,4.802,2.2246
27.57,4.8176,2.2394
27.62,4.8332,2.2543
27.68,4.8488,2.2691
27.73,4.8644,2.2839
27.78,4.88,2.2988
27.83,4.8956,2.3136
27.88,4.9112,2.3284
27.93,4.9268,2.3433
27.99,4.9425,2.3581
28.04,4.9581,2.3729
28.09,4.9737,2.3877
28.14,4.9893,2.4025
28.2,5.005,2.4173
28.25,5.0206,2.4321
28.3,5.0363,2.4469
28.35,5.0519,2.4617
28.4,5.0675,2.4765
28.45,5.0832,2.4913
28.5,5.0989,2.5061
28.56,5.1145,2.5209
28.61,5.1302,2.5356
28.66,5.1458,2.5504
28.71,5.1615,2.5652
28.76,5.1772,2.58
28.82,5.1928,2.5947
28.87,5.2085,2.6095
28.92,5.2242,2.6243
28.97,5.2398,2.6391
29.02,5.2555,2.6538
29.07,5.2712,2.6685
29.13,5.287,2.6832
29.18,5.3028,2.6978
29.23,5.3186,2.7125
29.28,5.3343,2.7271
29.33,5.3501,2.7418
29.38,5.3659,2.7564
29.43,5.3817,2.7711
29.48,5.3975,2.7857
29.54,5.4132,2.8004
29.59,5.429,2.815
29.64,5.4448,2.8297
29.69,5.4606,2.8443
29.74,5.4764,2.859
29.8,5.4921,2.8736
29.85,5.5079,2.8883
29.9,5.5237,2.9029
29.95,5.5395,2.9175
30.0,5.5554,2.9316
30.05,5.5713,2.9456
30.11,5.5867,2.9585
30.16,5.6022,2.9712
30.21,5.6173,2.982
30.26,5.6306,2.9909
30.32,5.6363,2.9919
30.37,5.6408,2.9924
30.42,5.6407,2.9916
30.47,5.6406,2.9906
30.52,5.6407,2.9891
30.57,5.6407,2.9875
30.62,5.6408,2.986
30.67,5.6408,2.9846
30.73,5.6409,2.9831
30.78,5.641,2.9818
30.83,5.6411,2.9804
30.88,5.6413,2.9791
30.93,5.6415,2.9778
30.99,5.643,2.9759
31.04,5.6461,2.973
31.09,5.6539,2.9708
31.14,5.6668,2.9691
31.19,5.6781,2.9665
31.24,5.6881,2.963
31.29,5.6969,2.9588
31.35,5.7049,2.954
31.4,5.7133,2.949
31.45,5.722,2.9437
31.5,5.7316,2.9382
31.55,5.7418,2.9325
31.6,5.7532,2.9267
31.65,5.7651,2.9208
31.71,5.7783,2.9149
31.76,5.792,2.909
31.81,5.8072,2.9033
31.86,5.8227,2.8975
31.91,5.8391,2.8924
31.96,5.8556,2.8874
32.02,5.8727,2.8832
32.07,5.89,2.879
32.12,5.9079,2.8758
32.17,5.9258,2.8726
32.22,5.9441,2.8704
32.27,5.9625,2.8683
32.33,5.9812,2.8672
32.38,5.9999,2.8662
32.43,6.0187,2.8657
32.48,6.0375,2.8652
32.53,6.0564,2.8656
32.58,6.0753,2.866
32.64,6.0941,2.867
32.69,6.113,2.8681
