t,trav_lidar,trav_thermal_filt,trav_eff
0.1,1.0,1.0,1.0
0.2,1.0,1.0,1.0
0.303,1.0,1.0,1.0
0.405,1.0,1.0,1.0
0.506,1.0,1.0,1.0
0.609,1.0,1.0,1.0
0.709,1.0,1.0,1.0
0.81,1.0,1.0,1.0
0.911,1.0,1.0,1.0
1.011,1.0,1.0,1.0
1.112,1.0,1.0,1.0
1.212,1.0,1.0,1.0
1.313,1.0,1.0,1.0
1.416,1.0,1.0,1.0
1.517,1.0,1.0,1.0
1.62,1.0,1.0,1.0
1.724,1.0,1.0,1.0
1.823,1.0,1.0,1.0
1.926,1.0,1.0,1.0
2.027,1.0,1.0,1.0
2.131,1.0,1.0,1.0
2.232,1.0,1.0,1.0
2.334,1.0,1.0,1.0
2.435,1.0,1.0,1.0
2.536,1.0,1.0,1.0
2.64,1.0,1.0,1.0
2.743,1.0,1.0,1.0
2.845,1.0,1.0,1.0
2.946,1.0,1.0,1.0
3.047,1.0,1.0,1.0
3.149,1.0,1.0,1.0
3.251,1.0,1.0,1.0
3.352,1.0,1.0,1.0
3.453,1.0,1.0,1.0
3.556,1.0,1.0,1.0
3.658,1.0,1.0,1.0
3.761,1.0,1.0,1.0
3.863,1.0,1.0,1.0
3.964,1.0,0.9979,0.9979
4.066,1.0,0.9968,0.9968
4.167,1.0,0.9822,0.9822
4.268,1.0,0.9748,0.9748
4.368,1.0,0.9489,0.9489
4.47,1.0,0.9359,0.9359
4.572,1.0,0.9294,0.9294
4.674,1.0,0.8815,0.8815
4.779,1.0,0.8575,0.8575
4.882,1.0,0.8087,0.8087
4.984,1.0,0.7843,0.7843
5.086,1.0,0.7284,0.7284
5.187,1.0,0.7005,0.7005
5.289,1.0,0.6348,0.6348
5.391,1.0,0.602,0.602
5.494,1.0,0.5856,0.5856
5.594,1.0,0.5495,0.5495
5.696,1.0,0.5314,0.5314
5.798,1.0,0.5405,0.5405
5.898,1.0,0.5478,0.5478
6.001,1.0,0.5775,0.5775
6.103,1.0,0.6012,0.6012
6.203,1.0,0.6475,0.6475
6.303,1.0,0.6846,0.6846
6.404,1.0,0.7142,0.7142
6.508,1.0,0.7585,0.7585
6.611,1.0,0.7939,0.7939
6.713,1.0,0.8223,0.8223
6.815,1.0,0.8549,0.8549
6.915,1.0,0.8811,0.8811
7.018,1.0,0.902,0.902
7.118,1.0,0.9187,0.9187
7.22,1.0,0.935,0.935
7.324,1.0,0.948,0.948
7.426,1.0,0.9584,0.9584
7.528,1.0,0.9667,0.9667
7.631,1.0,0.9734,0.9734
7.732,1.0,0.9787,0.9787
7.833,1.0,0.983,0.983
7.933,1.0,0.9864,0.9864
8.034,1.0,0.9891,0.9891
8.136,1.0,0.9913,0.9913
8.237,1.0,0.993,0.993
8.345,1.0,0.9944,0.9944
8.441,1.0,0.9955,0.9955
8.542,1.0,0.9964,0.9964
8.643,1.0,0.9971,0.9971
8.743,1.0,0.9977,0.9977
8.847,1.0,0.9982,0.9982
8.947,1.0,0.9985,0.9985
9.048,1.0,0.9988,0.9988
9.148,1.0,0.9991,0.9991
9.249,1.0,0.9993,0.9993
9.35,1.0,0.9994,0.9994
9.453,1.0,0.9995,0.9995
9.556,1.0,0.9996,0.9996
9.658,1.0,0.9997,0.9997
9.76,1.0,0.9998,0.9998
9.862,1.0,0.9998,0.9998
9.963,1.0,0.9998,0.9998
10.063,1.0,0.9999,0.9999
10.164,1.0,0.9999,0.9999
10.265,1.0,0.9999,0.9999
10.366,1.0,0.9998,0.9998
10.469,1.0,0.9997,0.9997
10.572,1.0,0.9996,0.9996
10.675,1.0,0.9997,0.9997
10.779,1.0,0.9998,0.9998
10.881,1.0,0.9998,0.9998
10.986,1.0,0.9998,0.9998
11.087,1.0,0.9999,0.9999
11.187,1.0,0.9999,0.9999
11.288,1.0,0.9999,0.9999
11.389,1.0,0.9999,0.9999
11.49,1.0,1.0,1.0
11.594,1.0,1.0,1.0
11.694,1.0,1.0,1.0
11.795,1.0,1.0,1.0
11.896,1.0,1.0,1.0
11.999,1.0,1.0,1.0
12.099,1.0,1.0,1.0
12.201,1.0,1.0,1.0
12.303,1.0,1.0,1.0
12.403,1.0,1.0,1.0
12.506,1.0,1.0,1.0
12.607,1.0,1.0,1.0
12.711,1.0,1.0,1.0
12.813,1.0,1.0,1.0
12.915,1.0,1.0,1.0
13.015,1.0,1.0,1.0
13.117,1.0,1.0,1.0
13.219,1.0,1.0,1.0
13.321,1.0,1.0,1.0
13.425,1.0,1.0,1.0
13.527,1.0,1.0,1.0
13.629,1.0,1.0,1.0
13.734,1.0,1.0,1.0
13.835,1.0,1.0,1.0
13.936,1.0,1.0,1.0
14.037,1.0,1.0,1.0
14.139,1.0,1.0,1.0
14.241,1.0,1.0,1.0
14.342,1.0,1.0,1.0
14.445,1.0,1.0,1.0
14.546,1.0,1.0,1.0
14.649,1.0,1.0,1.0
14.75,1.0,1.0,1.0
14.851,1.0,1.0,1.0
14.953,1.0,1.0,1.0
15.054,1.0,1.0,1.0
15.155,1.0,1.0,1.0
15.257,1.0,1.0,1.0
15.359,1.0,1.0,1.0
15.461,1.0,1.0,1.0
15.562,1.0,1.0,1.0
15.663,1.0,1.0,1.0
15.765,1.0,1.0,1.0
15.864,1.0,1.0,1.0
15.967,1.0,1.0,1.0
16.068,1.0,1.0,1.0
16.168,1.0,1.0,1.0
16.271,1.0,1.0,1.0
16.371,1.0,1.0,1.0
16.475,1.0,1.0,1.0
16.579,1.0,1.0,1.0
16.678,1.0,1.0,1.0
16.781,1.0,1.0,1.0
16.882,1.0,1.0,1.0
16.989,1.0,1.0,1.0
17.088,1.0,1.0,1.0
17.19,1.0,1.0,1.0
17.29,1.0,1.0,1.0
17.39,1.0,1.0,1.0
17.491,1.0,1.0,1.0
17.593,1.0,1.0,1.0
