t,x,y
0.03,0.0,0.0
0.09,0.0,0.0
0.13,0.0084,-0.0008
0.18,0.021,-0.002
0.24,0.0337,-0.0032
0.29,0.0463,-0.0043
0.34,0.0589,-0.0037
0.39,0.0715,-0.0024
0.44,0.0841,-0.001
0.5,0.0967,0.0003
0.55,0.1093,0.0019
0.6,0.1219,0.0035
0.65,0.1344,0.0052
0.7,0.147,0.0069
0.75,0.1584,0.0108
0.8,0.1696,0.0151
0.85,0.1809,0.0194
0.91,0.1921,0.0238
0.96,0.2012,0.0298
1.01,0.2101,0.0361
1.06,0.2191,0.0424
1.11,0.228,0.0489
1.16,0.2344,0.0559
1.22,0.2407,0.0631
1.27,0.2473,0.0704
1.32,0.254,0.0779
1.37,0.2609,0.0855
1.42,0.2679,0.0931
1.47,0.2751,0.1009
1.52,0.2823,0.1088
1.57,0.2899,0.1167
1.62,0.2974,0.1248
1.68,0.3052,0.1328
1.73,0.3131,0.1411
1.78,0.3215,0.1496
1.83,0.3302,0.1584
1.88,0.3395,0.1675
1.93,0.3491,0.1768
1.98,0.3594,0.1865
2.03,0.3702,0.1964
2.09,0.3816,0.2066
2.14,0.3936,0.217
2.19,0.4063,0.2278
2.24,0.4198,0.2387
2.3,0.4342,0.25
2.35,0.4496,0.2615
2.4,0.466,0.2733
2.45,0.4829,0.2851
2.5,0.5003,0.2968
2.55,0.5179,0.3083
2.61,0.5357,0.3196
2.66,0.5541,0.3305
2.71,0.5728,0.3412
2.76,0.5915,0.3518
2.81,0.6102,0.3624
2.86,0.629,0.3731
2.91,0.6477,0.3837
2.96,0.6664,0.3944
3.02,0.685,0.4051
3.07,0.7037,0.4158
3.12,0.7224,0.4265
3.17,0.7411,0.4372
3.22,0.7598,0.4479
3.28,0.7784,0.4586
3.33,0.7971,0.4694
3.38,0.8157,0.4801
3.43,0.8344,0.4909
3.48,0.853,0.5016
3.53,0.8717,0.5124
3.58,0.8903,0.5232
3.63,0.9089,0.5339
3.69,0.9276,0.5447
3.74,0.9462,0.5555
3.79,0.9648,0.5663
3.84,0.9834,0.5772
3.89,1.002,0.588
3.94,1.0207,0.5988
3.99,1.0393,0.6096
4.05,1.0579,0.6205
4.1,1.0762,0.6317
4.15,1.0946,0.6429
4.2,1.1129,0.6542
4.25,1.1313,0.6654
4.3,1.1496,0.6767
