t,name,x,y
0.01,obstacle_cat,3.035,0.771
0.07,obstacle_cat,3.035,0.771
0.12,obstacle_cat,3.035,0.771
0.18,obstacle_cat,3.035,0.771
0.24,obstacle_cat,3.035,0.771
0.3,obstacle_cat,3.035,0.771
0.35,obstacle_cat,3.035,0.771
0.41,obstacle_cat,3.035,0.771
0.46,obstacle_cat,3.035,0.771
0.52,obstacle_cat,3.035,0.771
0.57,obstacle_cat,3.035,0.771
0.63,obstacle_cat,3.035,0.771
0.69,obstacle_cat,3.035,0.771
0.75,obstacle_cat,3.035,0.771
0.8,obstacle_cat,3.035,0.771
0.86,obstacle_cat,3.035,0.771
0.92,obstacle_cat,3.035,0.771
0.97,obstacle_cat,3.035,0.771
1.03,obstacle_cat,3.035,0.771
1.09,obstacle_cat,3.035,0.771
1.14,obstacle_cat,3.035,0.771
1.2,obstacle_cat,3.035,0.771
1.26,obstacle_cat,3.035,0.771
1.31,obstacle_cat,3.035,0.771
1.37,obstacle_cat,3.035,0.771
1.43,obstacle_cat,3.035,0.771
1.48,obstacle_cat,3.035,0.771
1.54,obstacle_cat,3.035,0.771
1.6,obstacle_cat,3.035,0.771
1.65,obstacle_cat,3.035,0.771
1.71,obstacle_cat,3.035,0.771
1.77,obstacle_cat,3.035,0.771
1.82,obstacle_cat,3.035,0.771
1.88,obstacle_cat,3.035,0.771
1.94,obstacle_cat,3.035,0.771
1.99,obstacle_cat,3.035,0.771
2.05,obstacle_cat,3.035,0.771
2.11,obstacle_cat,3.035,0.771
2.17,obstacle_cat,3.035,0.771
2.22,obstacle_cat,3.035,0.771
2.28,obstacle_cat,3.035,0.771
2.33,obstacle_cat,3.035,0.771
2.39,obstacle_cat,3.035,0.771
2.45,obstacle_cat,3.035,0.771
2.5,obstacle_cat,3.035,0.771
2.56,obstacle_cat,3.035,0.771
2.62,obstacle_cat,3.035,0.771
2.67,obstacle_cat,3.035,0.771
2.73,obstacle_cat,3.035,0.771
2.79,obstacle_cat,3.035,0.771
2.84,obstacle_cat,3.035,0.771
