t,x,y
0.03,0.0,0.0
0.09,0.0,0.0
0.14,0.0188,-0.0017
0.19,0.0441,-0.0039
0.24,0.0695,-0.0057
0.29,0.0949,-0.0074
0.34,0.0998,-0.0048
0.4,0.1003,-0.0012
0.45,0.1216,0.0021
0.5,0.1468,0.0054
0.55,0.1719,0.0091
0.61,0.197,0.0129
0.66,0.2202,0.0208
0.71,0.2432,0.0292
0.76,0.2628,0.0408
0.81,0.2821,0.0528
0.86,0.2971,0.0665
0.91,0.312,0.0806
0.96,0.3277,0.0947
1.02,0.3432,0.109
1.07,0.3595,0.1234
1.12,0.3757,0.138
1.17,0.3926,0.1526
1.22,0.4095,0.1674
1.27,0.4271,0.182
1.32,0.4447,0.1968
1.38,0.463,0.2114
1.43,0.4811,0.2262
1.48,0.499,0.2413
1.53,0.5171,0.2564
1.58,0.5359,0.2712
1.63,0.555,0.2859
1.68,0.5746,0.3004
1.74,0.5947,0.3146
1.79,0.6156,0.3281
1.84,0.6365,0.3416
1.89,0.6575,0.3551
1.94,0.6786,0.3686
1.99,0.6997,0.3821
2.05,0.7209,0.3955
2.1,0.7422,0.4089
2.15,0.7634,0.4224
2.2,0.7848,0.4358
2.25,0.8061,0.4492
2.3,0.8275,0.4626
2.36,0.8489,0.4759
2.41,0.8704,0.4893
2.46,0.8919,0.5026
2.51,0.9134,0.5159
2.56,0.9349,0.5292
2.61,0.9564,0.5426
2.67,0.978,0.5558
2.72,0.9996,0.5691
2.77,1.0213,0.5824
2.82,1.0429,0.5957
2.87,1.0645,0.6089
2.93,1.0862,0.6222
2.98,1.1077,0.6356
3.03,1.1293,0.649
3.08,1.1509,0.6624
3.13,1.1724,0.6759
3.18,1.194,0.6893
3.23,1.2155,0.7027
3.29,1.2372,0.7161
3.34,1.2587,0.7296
3.39,1.2803,0.743
3.44,1.3019,0.7565
3.49,1.3234,0.77
3.55,1.345,0.7835
3.6,1.3666,0.7969
3.65,1.3882,0.8104
3.7,1.4098,0.8239
3.75,1.4314,0.8373
3.8,1.453,0.8508
3.86,1.4749,0.8638
3.91,1.498,0.8742
3.96,1.5212,0.8836
4.01,1.5445,0.889
4.06,1.5639,0.8925
4.12,1.5728,0.8911
4.17,1.5789,0.8893
4.22,1.5783,0.8871
4.27,1.5776,0.885
4.33,1.577,0.8827
