t,name,x,y
0.0,obstacle_cat,2.895,0.928
0.06,obstacle_cat,2.895,0.928
0.11,obstacle_cat,2.895,0.928
0.17,obstacle_cat,2.895,0.928
0.22,obstacle_cat,2.895,0.928
0.28,obstacle_cat,2.895,0.928
0.34,obstacle_cat,2.895,0.928
0.39,obstacle_cat,2.895,0.928
0.45,obstacle_cat,2.895,0.928
0.51,obstacle_cat,2.895,0.928
0.57,obstacle_cat,2.895,0.928
0.62,obstacle_cat,2.895,0.928
0.68,obstacle_cat,2.895,0.928
0.74,obstacle_cat,2.895,0.928
0.8,obstacle_cat,2.895,0.928
0.85,obstacle_cat,2.895,0.928
0.91,obstacle_cat,2.895,0.928
0.97,obstacle_cat,2.895,0.928
1.03,obstacle_cat,2.895,0.928
1.08,obstacle_cat,2.895,0.928
1.14,obstacle_cat,2.895,0.928
1.19,obstacle_cat,2.895,0.928
1.25,obstacle_cat,2.895,0.928
1.31,obstacle_cat,2.895,0.928
1.36,obstacle_cat,2.895,0.928
1.42,obstacle_cat,2.895,0.928
1.48,obstacle_cat,2.895,0.928
1.54,obstacle_cat,2.895,0.928
1.59,obstacle_cat,2.895,0.928
1.65,obstacle_cat,2.895,0.928
1.71,obstacle_cat,2.895,0.928
1.76,obstacle_cat,2.895,0.928
1.82,obstacle_cat,2.895,0.928
1.88,obstacle_cat,2.895,0.928
1.93,obstacle_cat,2.895,0.928
1.99,obstacle_cat,2.895,0.928
2.05,obstacle_cat,2.895,0.928
2.11,obstacle_cat,2.895,0.928
2.16,obstacle_cat,2.895,0.928
2.22,obstacle_cat,2.895,0.928
2.28,obstacle_cat,2.895,0.928
2.33,obstacle_cat,2.895,0.928
2.39,obstacle_cat,2.895,0.928
2.45,obstacle_cat,2.895,0.928
2.51,obstacle_cat,2.895,0.928
2.56,obstacle_cat,2.895,0.928
2.62,obstacle_cat,2.895,0.928
2.68,obstacle_cat,2.895,0.928
2.73,obstacle_cat,2.895,0.928
2.79,obstacle_cat,2.895,0.928
2.85,obstacle_cat,2.895,0.928
2.91,obstacle_cat,2.895,0.928
2.96,obstacle_cat,2.895,0.928
3.02,obstacle_cat,2.895,0.928
3.08,obstacle_cat,2.895,0.928
3.13,obstacle_cat,2.895,0.928
3.19,obstacle_cat,2.895,0.928
3.25,obstacle_cat,2.895,0.928
3.3,obstacle_cat,2.895,0.928
3.37,obstacle_cat,2.895,0.928
3.42,obstacle_cat,2.895,0.928
3.48,obstacle_cat,2.895,0.928
