t,name,x,y
0.01,obstacle_cat,2.895,0.928
0.06,obstacle_cat,2.895,0.928
0.12,obstacle_cat,2.895,0.928
0.17,obstacle_cat,2.895,0.928
0.23,obstacle_cat,2.895,0.928
0.29,obstacle_cat,2.895,0.928
0.34,obstacle_cat,2.895,0.928
0.4,obstacle_cat,2.895,0.928
0.46,obstacle_cat,2.895,0.928
0.51,obstacle_cat,2.895,0.928
0.57,obstacle_cat,2.895,0.928
0.63,obstacle_cat,2.895,0.928
0.69,obstacle_cat,2.895,0.928
0.74,obstacle_cat,2.895,0.928
0.8,obstacle_cat,2.895,0.928
0.85,obstacle_cat,2.895,0.928
0.91,obstacle_cat,2.895,0.928
0.97,obstacle_cat,2.895,0.928
1.03,obstacle_cat,2.895,0.928
1.09,obstacle_cat,2.895,0.928
1.15,obstacle_cat,2.895,0.928
1.21,obstacle_cat,2.895,0.928
1.26,obstacle_cat,2.895,0.928
1.32,obstacle_cat,2.895,0.928
1.38,obstacle_cat,2.895,0.928
1.43,obstacle_cat,2.895,0.928
1.48,obstacle_cat,2.895,0.928
1.54,obstacle_cat,2.895,0.928
1.6,obstacle_cat,2.895,0.928
1.65,obstacle_cat,2.895,0.928
1.71,obstacle_cat,2.895,0.928
1.77,obstacle_cat,2.895,0.928
1.82,obstacle_cat,2.895,0.928
1.88,obstacle_cat,2.895,0.928
1.93,obstacle_cat,2.895,0.928
1.99,obstacle_cat,2.895,0.928
2.05,obstacle_cat,2.895,0.928
2.1,obstacle_cat,2.895,0.928
2.16,obstacle_cat,2.895,0.928
2.22,obstacle_cat,2.895,0.928
2.27,obstacle_cat,2.895,0.928
2.33,obstacle_cat,2.895,0.928
2.39,obstacle_cat,2.895,0.928
2.45,obstacle_cat,2.895,0.928
2.5,obstacle_cat,2.895,0.928
2.56,obstacle_cat,2.895,0.928
2.62,obstacle_cat,2.895,0.928
2.68,obstacle_cat,2.895,0.928
2.73,obstacle_cat,2.895,0.928
2.79,obstacle_cat,2.895,0.928
2.85,obstacle_cat,2.895,0.928
2.9,obstacle_cat,2.895,0.928
2.96,obstacle_cat,2.895,0.928
3.01,obstacle_cat,2.895,0.928
3.07,obstacle_cat,2.895,0.928
3.13,obstacle_cat,2.895,0.928
3.19,obstacle_cat,2.895,0.928
3.24,obstacle_cat,2.895,0.928
3.3,obstacle_cat,2.895,0.928
3.36,obstacle_cat,2.895,0.928
3.41,obstacle_cat,2.895,0.928
3.47,obstacle_cat,2.895,0.928
3.52,obstacle_cat,2.895,0.928
3.58,obstacle_cat,2.895,0.928
3.64,obstacle_cat,2.895,0.928
3.69,obstacle_cat,2.895,0.928
3.75,obstacle_cat,2.895,0.928
3.81,obstacle_cat,2.895,0.928
3.86,obstacle_cat,2.895,0.928
3.92,obstacle_cat,2.895,0.928
3.98,obstacle_cat,2.895,0.928
4.04,obstacle_cat,2.895,0.928
4.09,obstacle_cat,2.895,0.928
4.15,obstacle_cat,2.895,0.928
4.2,obstacle_cat,2.895,0.928
4.26,obstacle_cat,2.895,0.928
4.31,obstacle_cat,2.895,0.928
4.37,obstacle_cat,2.895,0.928
4.42,obstacle_cat,2.895,0.928
4.48,obstacle_cat,2.895,0.928
4.54,obstacle_cat,2.895,0.928
4.59,obstacle_cat,2.895,0.928
4.65,obstacle_cat,2.895,0.928
4.71,obstacle_cat,2.895,0.928
4.76,obstacle_cat,2.895,0.928
4.82,obstacle_cat,2.895,0.928
4.88,obstacle_cat,2.895,0.928
4.94,obstacle_cat,2.895,0.928
4.99,obstacle_cat,2.895,0.928
5.05,obstacle_cat,2.895,0.928
5.11,obstacle_cat,2.895,0.928
5.16,obstacle_cat,2.895,0.928
5.22,obstacle_cat,2.895,0.928
5.27,obstacle_cat,2.895,0.928
5.33,obstacle_cat,2.895,0.928
5.39,obstacle_cat,2.895,0.928
5.44,obstacle_cat,2.895,0.928
5.5,obstacle_cat,2.895,0.928
5.56,obstacle_cat,2.895,0.928
5.61,obstacle_cat,2.895,0.928
5.67,obstacle_cat,2.895,0.928
5.72,obstacle_cat,2.895,0.928
5.78,obstacle_cat,2.895,0.928
5.84,obstacle_cat,2.895,0.928
5.9,obstacle_cat,2.895,0.928
5.95,obstacle_cat,2.895,0.928
6.01,obstacle_cat,2.895,0.928
6.06,obstacle_cat,2.895,0.928
6.12,obstacle_cat,2.895,0.928
6.17,obstacle_cat,2.895,0.928
6.23,obstacle_cat,2.895,0.928
6.29,obstacle_cat,2.895,0.928
6.35,obstacle_cat,2.895,0.928
6.41,obstacle_cat,2.895,0.928
6.46,obstacle_cat,2.895,0.928
6.52,obstacle_cat,2.895,0.928
6.58,obstacle_cat,2.895,0.928
6.63,obstacle_cat,2.895,0.928
6.69,obstacle_cat,2.895,0.928
6.75,obstacle_cat,2.895,0.928
6.8,obstacle_cat,2.895,0.928
6.86,obstacle_cat,2.895,0.928
6.92,obstacle_cat,2.895,0.928
6.97,obstacle_cat,2.895,0.928
7.03,obstacle_cat,2.895,0.928
7.08,obstacle_cat,2.895,0.928
7.14,obstacle_cat,2.895,0.928
7.2,obstacle_cat,2.895,0.928
7.25,obstacle_cat,2.895,0.928
7.31,obstacle_cat,2.895,0.928
7.37,obstacle_cat,2.895,0.928
7.43,obstacle_cat,2.895,0.928
7.48,obstacle_cat,2.895,0.928
7.54,obstacle_cat,2.895,0.928
7.6,obstacle_cat,2.895,0.928
7.66,obstacle_cat,2.895,0.928
7.71,obstacle_cat,2.895,0.928
7.77,obstacle_cat,2.895,0.928
7.83,obstacle_cat,2.895,0.928
7.88,obstacle_cat,2.895,0.928
7.94,obstacle_cat,2.895,0.928
8.0,obstacle_cat,2.895,0.928
8.05,obstacle_cat,2.895,0.928
8.11,obstacle_cat,2.895,0.928
8.16,obstacle_cat,2.895,0.928
8.22,obstacle_cat,2.895,0.928
8.28,obstacle_cat,2.895,0.928
8.33,obstacle_cat,2.895,0.928
8.39,obstacle_cat,2.895,0.928
8.44,obstacle_cat,2.895,0.928
8.5,obstacle_cat,2.895,0.928
8.56,obstacle_cat,2.895,0.928
8.62,obstacle_cat,2.895,0.928
8.67,obstacle_cat,2.895,0.928
8.73,obstacle_cat,2.895,0.928
8.79,obstacle_cat,2.895,0.928
8.85,obstacle_cat,2.895,0.928
8.91,obstacle_cat,2.895,0.928
8.96,obstacle_cat,2.895,0.928
9.02,obstacle_cat,2.895,0.928
9.08,obstacle_cat,2.895,0.928
9.13,obstacle_cat,2.895,0.928
9.19,obstacle_cat,2.895,0.928
9.24,obstacle_cat,2.895,0.928
9.3,obstacle_cat,2.895,0.928
9.36,obstacle_cat,2.895,0.928
9.41,obstacle_cat,2.895,0.928
9.47,obstacle_cat,2.895,0.928
9.53,obstacle_cat,2.895,0.928
9.59,obstacle_cat,2.895,0.928
9.64,obstacle_cat,2.895,0.928
9.7,obstacle_cat,2.895,0.928
9.76,obstacle_cat,2.895,0.928
9.82,obstacle_cat,2.895,0.928
9.88,obstacle_cat,2.895,0.928
9.93,obstacle_cat,2.895,0.928
9.99,obstacle_cat,2.895,0.928
10.05,obstacle_cat,2.895,0.928
10.1,obstacle_cat,2.895,0.928
10.16,obstacle_cat,2.895,0.928
10.22,obstacle_cat,2.895,0.928
10.27,obstacle_cat,2.895,0.928
10.33,obstacle_cat,2.895,0.928
10.39,obstacle_cat,2.895,0.928
10.44,obstacle_cat,2.895,0.928
10.5,obstacle_cat,2.895,0.928
10.56,obstacle_cat,2.895,0.928
10.61,obstacle_cat,2.895,0.928
10.67,obstacle_cat,2.895,0.928
10.73,obstacle_cat,2.895,0.928
10.78,obstacle_cat,2.895,0.928
10.84,obstacle_cat,2.895,0.928
10.9,obstacle_cat,2.895,0.928
10.96,obstacle_cat,2.895,0.928
11.01,obstacle_cat,2.895,0.928
11.07,obstacle_cat,2.895,0.928
11.13,obstacle_cat,2.895,0.928
11.18,obstacle_cat,2.895,0.928
11.24,obstacle_cat,2.895,0.928
11.3,obstacle_cat,2.895,0.928
11.36,obstacle_cat,2.895,0.928
11.41,obstacle_cat,2.895,0.928
11.47,obstacle_cat,2.895,0.928
11.53,obstacle_cat,2.895,0.928
11.58,obstacle_cat,2.895,0.928
11.64,obstacle_cat,2.895,0.928
11.7,obstacle_cat,2.895,0.928
11.76,obstacle_cat,2.895,0.928
11.81,obstacle_cat,2.895,0.928
11.87,obstacle_cat,2.895,0.928
11.92,obstacle_cat,2.895,0.928
11.98,obstacle_cat,2.895,0.928
12.04,obstacle_cat,2.895,0.928
12.1,obstacle_cat,2.895,0.928
12.16,obstacle_cat,2.895,0.928
12.21,obstacle_cat,2.895,0.928
12.27,obstacle_cat,2.895,0.928
12.33,obstacle_cat,2.895,0.928
12.38,obstacle_cat,2.895,0.928
12.44,obstacle_cat,2.895,0.928
12.5,obstacle_cat,2.895,0.928
12.55,obstacle_cat,2.895,0.928
12.61,obstacle_cat,2.895,0.928
12.67,obstacle_cat,2.895,0.928
12.73,obstacle_cat,2.895,0.928
12.79,obstacle_cat,2.895,0.928
12.85,obstacle_cat,2.895,0.928
12.9,obstacle_cat,2.895,0.928
12.96,obstacle_cat,2.895,0.928
13.01,obstacle_cat,2.895,0.928
13.07,obstacle_cat,2.895,0.928
13.13,obstacle_cat,2.895,0.928
13.18,obstacle_cat,2.895,0.928
13.24,obstacle_cat,2.895,0.928
13.3,obstacle_cat,2.895,0.928
13.35,obstacle_cat,2.895,0.928
13.41,obstacle_cat,2.895,0.928
13.46,obstacle_cat,2.895,0.928
13.52,obstacle_cat,2.895,0.928
13.58,obstacle_cat,2.895,0.928
13.64,obstacle_cat,2.895,0.928
13.69,obstacle_cat,2.895,0.928
13.75,obstacle_cat,2.895,0.928
13.8,obstacle_cat,2.895,0.928
13.86,obstacle_cat,2.895,0.928
13.92,obstacle_cat,2.895,0.928
13.97,obstacle_cat,2.895,0.928
14.03,obstacle_cat,2.895,0.928
14.09,obstacle_cat,2.895,0.928
14.14,obstacle_cat,2.895,0.928
14.2,obstacle_cat,2.895,0.928
14.26,obstacle_cat,2.895,0.928
14.31,obstacle_cat,2.895,0.928
14.37,obstacle_cat,2.895,0.928
14.43,obstacle_cat,2.895,0.928
14.48,obstacle_cat,2.895,0.928
14.54,obstacle_cat,2.895,0.928
14.6,obstacle_cat,2.895,0.928
14.66,obstacle_cat,2.895,0.928
14.71,obstacle_cat,2.895,0.928
14.77,obstacle_cat,2.895,0.928
14.83,obstacle_cat,2.895,0.928
14.88,obstacle_cat,2.895,0.928
14.94,obstacle_cat,2.895,0.928
14.99,obstacle_cat,2.895,0.928
15.05,obstacle_cat,2.895,0.928
15.11,obstacle_cat,2.895,0.928
15.16,obstacle_cat,2.895,0.928
15.22,obstacle_cat,2.895,0.928
15.28,obstacle_cat,2.895,0.928
15.34,obstacle_cat,2.895,0.928
15.39,obstacle_cat,2.895,0.928
15.45,obstacle_cat,2.895,0.928
15.51,obstacle_cat,2.895,0.928
15.56,obstacle_cat,2.895,0.928
15.62,obstacle_cat,2.895,0.928
15.68,obstacle_cat,2.895,0.928
15.73,obstacle_cat,2.895,0.928
15.79,obstacle_cat,2.895,0.928
15.85,obstacle_cat,2.895,0.928
15.9,obstacle_cat,2.895,0.928
15.96,obstacle_cat,2.895,0.928
16.01,obstacle_cat,2.895,0.928
16.07,obstacle_cat,2.895,0.928
16.12,obstacle_cat,2.895,0.928
16.18,obstacle_cat,2.895,0.928
16.24,obstacle_cat,2.895,0.928
16.3,obstacle_cat,2.895,0.928
16.35,obstacle_cat,2.895,0.928
16.41,obstacle_cat,2.895,0.928
16.46,obstacle_cat,2.895,0.928
16.52,obstacle_cat,2.895,0.928
16.58,obstacle_cat,2.895,0.928
16.63,obstacle_cat,2.895,0.928
16.69,obstacle_cat,2.895,0.928
16.75,obstacle_cat,2.895,0.928
16.81,obstacle_cat,2.895,0.928
16.86,obstacle_cat,2.895,0.928
16.92,obstacle_cat,2.895,0.928
16.98,obstacle_cat,2.895,0.928
17.04,obstacle_cat,2.895,0.928
