t,x,y
0.04,0.0,0.0
0.09,0.0,0.0
0.15,0.0233,-0.0021
0.2,0.0486,-0.0043
0.25,0.0507,-0.0011
0.3,0.0512,0.0025
0.35,0.0758,0.0062
0.41,0.1008,0.0101
0.46,0.1258,0.0144
0.51,0.1505,0.0191
0.56,0.1721,0.029
0.61,0.1931,0.0395
0.67,0.2096,0.0527
0.72,0.2252,0.0663
0.77,0.2369,0.0804
0.82,0.2486,0.0949
0.87,0.2613,0.1097
0.93,0.274,0.1248
0.98,0.2877,0.1401
1.03,0.3023,0.1553
1.08,0.3202,0.1699
1.13,0.3375,0.1848
1.18,0.3537,0.2004
1.24,0.3702,0.216
1.29,0.3877,0.2314
1.34,0.4056,0.2467
1.39,0.4243,0.2617
1.44,0.4434,0.2765
1.5,0.4632,0.2909
1.55,0.4834,0.3051
1.6,0.504,0.3189
1.65,0.525,0.3325
1.7,0.5464,0.3457
1.76,0.5682,0.3583
1.81,0.5905,0.3703
1.86,0.6129,0.3824
1.91,0.6352,0.3945
1.96,0.6575,0.4066
2.02,0.6797,0.4188
2.07,0.702,0.4309
2.12,0.7243,0.4432
2.17,0.7465,0.4554
2.23,0.7687,0.4677
2.28,0.791,0.48
2.33,0.8132,0.4923
2.38,0.8354,0.5046
2.43,0.8576,0.517
2.49,0.8798,0.5294
2.54,0.902,0.5418
2.59,0.9242,0.5542
2.64,0.9463,0.5667
2.69,0.9685,0.5791
2.74,0.9906,0.5917
2.8,1.0128,0.6041
2.85,1.0349,0.6166
2.9,1.0571,0.6292
2.95,1.0792,0.6417
3.01,1.1014,0.6543
3.06,1.1235,0.6668
3.11,1.1452,0.68
3.16,1.1668,0.6933
3.21,1.1885,0.7066
3.26,1.2102,0.7199
3.31,1.2318,0.7331
3.37,1.2535,0.7464
3.42,1.2752,0.7596
3.47,1.2969,0.7729
3.52,1.3186,0.7861
3.57,1.3403,0.7994
3.63,1.3621,0.8127
3.68,1.3838,0.8259
3.73,1.4055,0.8392
3.78,1.4272,0.8525
3.83,1.4489,0.8658
3.89,1.4712,0.8779
3.94,1.4945,0.8881
3.99,1.5161,0.8952
4.04,1.5355,0.898
4.1,1.5492,0.8978
4.15,1.5555,0.8939
4.2,1.5588,0.891
