t,x,y
0.03,0.0,0.0
0.08,0.0,0.0
0.13,0.0077,-0.0007
0.18,0.0203,-0.0019
0.23,0.0329,-0.0031
0.28,0.0456,-0.0043
0.34,0.0582,-0.0038
0.39,0.0708,-0.0024
0.44,0.0834,-0.0011
0.49,0.096,0.0003
0.54,0.1086,0.0019
0.59,0.1211,0.0035
0.64,0.1337,0.0051
0.69,0.1462,0.0068
0.75,0.1577,0.0106
0.8,0.1689,0.0149
0.85,0.1802,0.0192
0.9,0.1914,0.0236
0.95,0.2006,0.0296
1.0,0.2095,0.0358
1.06,0.2187,0.0421
1.11,0.2278,0.0484
1.16,0.2342,0.0555
1.21,0.2404,0.0626
1.26,0.2471,0.0699
1.31,0.2537,0.0774
1.37,0.2607,0.085
1.42,0.2676,0.0926
1.48,0.2748,0.1004
1.53,0.282,0.1083
1.58,0.2895,0.1162
1.63,0.297,0.1242
1.68,0.3048,0.1323
1.73,0.3126,0.1405
1.78,0.321,0.149
1.83,0.3297,0.1578
1.88,0.3389,0.1669
1.93,0.3485,0.1762
1.99,0.3588,0.1858
2.04,0.3693,0.1957
2.09,0.3807,0.2059
2.14,0.3926,0.2163
2.19,0.4053,0.227
2.25,0.4187,0.238
2.3,0.433,0.2492
2.35,0.4482,0.2607
2.4,0.4645,0.2724
2.45,0.4813,0.2842
2.5,0.4986,0.2959
2.55,0.5162,0.3075
2.6,0.534,0.3189
2.65,0.5523,0.3298
2.71,0.5711,0.3404
2.76,0.5898,0.351
2.81,0.6085,0.3617
2.86,0.6272,0.3723
2.91,0.6459,0.383
2.97,0.6646,0.3936
3.02,0.6833,0.4043
3.07,0.702,0.415
3.12,0.7207,0.4257
3.17,0.7394,0.4364
3.23,0.758,0.4471
3.28,0.7767,0.4578
3.33,0.7954,0.4686
3.38,0.814,0.4793
3.43,0.8327,0.49
3.48,0.8513,0.5008
3.54,0.87,0.5116
3.59,0.8886,0.5223
3.64,0.9072,0.5331
3.69,0.9259,0.5439
3.74,0.9445,0.5547
3.8,0.9631,0.5655
3.85,0.9818,0.5763
3.9,1.0004,0.5871
3.95,1.019,0.5979
4.0,1.0376,0.6087
4.05,1.0562,0.6196
4.11,1.0746,0.6308
4.16,1.0929,0.642
4.21,1.1113,0.6533
4.26,1.1296,0.6645
4.32,1.148,0.6758
4.37,1.1663,0.687
