t,x,y
0.0,0.0,0.0
0.05,0.0,0.0
0.1,0.0005,-0.0
0.15,0.0131,-0.0013
0.21,0.0257,-0.0025
0.26,0.0384,-0.0037
0.33,0.051,-0.0049
0.38,0.0636,-0.006
0.44,0.0763,-0.0069
0.49,0.0889,-0.0057
0.54,0.1016,-0.0045
0.59,0.1142,-0.0033
0.64,0.1268,-0.0021
0.7,0.1394,-0.0007
0.75,0.152,0.0007
0.8,0.1646,0.0021
0.85,0.1769,0.0043
0.9,0.1884,0.0082
0.96,0.1991,0.0128
1.01,0.2083,0.0186
1.06,0.2176,0.0246
1.11,0.227,0.0306
1.17,0.2353,0.0369
1.22,0.2421,0.0438
1.27,0.2489,0.0509
1.32,0.256,0.058
1.38,0.2632,0.0653
1.43,0.2705,0.0727
1.48,0.2779,0.0801
1.53,0.2855,0.0877
1.58,0.2932,0.0953
1.64,0.301,0.103
1.69,0.3089,0.1108
1.75,0.3169,0.1186
1.8,0.3253,0.1267
1.85,0.3339,0.135
1.9,0.3431,0.1436
1.95,0.3524,0.1525
2.01,0.3625,0.1617
2.06,0.3727,0.1712
2.12,0.3838,0.1811
2.17,0.3951,0.1911
2.22,0.4073,0.2017
2.27,0.4198,0.2124
2.33,0.4335,0.2236
2.38,0.4473,0.235
2.44,0.4629,0.2471
2.49,0.4786,0.2593
2.54,0.4953,0.2715
2.6,0.512,0.2838
2.65,0.5292,0.2958
2.71,0.5463,0.3079
2.76,0.5637,0.3199
2.82,0.5809,0.3319
2.87,0.5986,0.3437
2.92,0.6163,0.3556
2.97,0.634,0.3675
3.02,0.6517,0.3794
3.08,0.6697,0.3911
3.14,0.6876,0.4027
3.19,0.7057,0.4141
3.24,0.7238,0.4255
3.3,0.7419,0.4366
3.35,0.76,0.4477
3.4,0.7781,0.4587
3.46,0.7962,0.4696
3.51,0.8143,0.4804
3.57,0.8323,0.4911
3.62,0.8504,0.5017
3.67,0.8684,0.5123
3.72,0.8864,0.5228
3.78,0.9043,0.5333
3.83,0.9222,0.5437
3.89,0.9402,0.5542
3.94,0.9582,0.5646
3.99,0.9763,0.575
4.04,0.9945,0.5853
4.1,1.0126,0.5956
4.15,1.0308,0.6058
4.2,1.0489,0.616
4.25,1.0671,0.6261
4.3,1.0851,0.6364
4.36,1.1029,0.6469
4.41,1.1109,0.6516
4.46,1.1131,0.6529
4.52,1.1152,0.6542
4.58,1.1174,0.6555
4.63,1.1195,0.6567
4.7,1.1217,0.658
4.75,1.1239,0.6593
4.8,1.1261,0.6605
