t,x,y
0.01,0.0,0.0
0.06,0.0,0.0
0.11,-0.0001,0.0003
0.16,-0.0005,0.0027
0.21,0.001,0.0043
0.26,0.0106,0.0022
0.31,0.0178,0.0013
0.37,0.0174,0.0045
0.42,0.0195,0.0064
0.47,0.0293,0.0046
0.52,0.0391,0.0027
0.58,0.0489,0.0007
0.63,0.0556,0.0009
0.68,0.0557,0.0058
0.73,0.0601,0.0096
0.78,0.0721,0.0114
0.83,0.0841,0.0133
0.89,0.0962,0.0151
0.94,0.1083,0.017
0.99,0.1204,0.0189
1.04,0.1315,0.0235
1.1,0.1416,0.0308
1.15,0.1523,0.0373
1.2,0.1637,0.043
1.25,0.1738,0.05
1.3,0.183,0.0581
1.35,0.1921,0.0662
1.41,0.2013,0.0743
1.46,0.2106,0.0823
1.51,0.2199,0.0905
1.56,0.2293,0.0986
1.61,0.2386,0.1067
1.66,0.248,0.1148
1.72,0.2575,0.1229
1.77,0.267,0.131
1.82,0.2765,0.139
1.87,0.2862,0.1471
1.92,0.2958,0.1552
1.97,0.3062,0.1637
2.03,0.3166,0.1723
2.08,0.3279,0.1813
2.13,0.3392,0.1904
2.18,0.3514,0.2
2.24,0.3637,0.2096
2.29,0.3759,0.2207
2.34,0.3882,0.2319
2.39,0.4011,0.2433
2.44,0.4141,0.2549
2.5,0.4287,0.2669
2.55,0.4434,0.2791
2.6,0.4601,0.2917
2.65,0.4768,0.3042
2.7,0.494,0.3164
2.76,0.5113,0.3285
2.81,0.529,0.3403
2.86,0.5468,0.352
2.91,0.5648,0.3633
2.97,0.5829,0.3746
3.02,0.6013,0.3857
3.07,0.6197,0.3967
3.12,0.6382,0.4075
3.17,0.6568,0.4183
3.23,0.6754,0.4288
3.28,0.694,0.4393
3.33,0.7125,0.4497
3.38,0.7311,0.46
3.43,0.7495,0.4704
3.49,0.768,0.4806
3.54,0.7864,0.4908
3.59,0.8048,0.501
3.64,0.8232,0.511
3.69,0.8415,0.521
3.75,0.8598,0.5309
3.8,0.878,0.5409
3.85,0.8962,0.5507
3.9,0.9144,0.5606
3.96,0.9327,0.5705
4.01,0.951,0.5803
4.06,0.9694,0.5901
4.12,0.9878,0.5998
4.17,1.0062,0.6096
4.22,1.0245,0.6192
4.27,1.0429,0.6288
4.32,1.061,0.6389
4.37,1.0789,0.6492
4.42,1.097,0.6595
4.48,1.115,0.6698
4.53,1.12,0.6727
4.59,1.1221,0.674
4.64,1.1243,0.6753
4.69,1.1265,0.6765
4.74,1.1286,0.6778
4.79,1.1308,0.6791
4.85,1.133,0.6803
4.9,1.1351,0.6816
4.95,1.1373,0.6829
5.0,1.1395,0.6842
5.05,1.1417,0.6854
5.1,1.1438,0.6867
5.15,1.146,0.688
5.21,1.1482,0.6892
5.26,1.1505,0.6898
5.31,1.1528,0.6904
5.36,1.1551,0.691
5.42,1.1575,0.6916
5.47,1.1598,0.6922
5.52,1.1621,0.6927
5.57,1.1645,0.6933
5.62,1.1668,0.6939
5.68,1.1691,0.6945
5.73,1.1715,0.6951
5.78,1.1738,0.6957
5.83,1.1762,0.6963
5.89,1.1785,0.6969
5.94,1.1809,0.6975
5.99,1.1833,0.698
6.04,1.1856,0.6986
6.1,1.188,0.6992
6.15,1.1904,0.6998
6.21,1.1928,0.7004
6.26,1.1951,0.701
6.31,1.1975,0.7015
6.36,1.1999,0.7021
6.41,1.2023,0.7027
6.47,1.2047,0.7033
6.52,1.2071,0.7039
6.57,1.2095,0.7044
6.62,1.2119,0.705
6.67,1.2143,0.7056
6.73,1.2167,0.7061
6.78,1.2191,0.7067
6.83,1.2215,0.7073
6.88,1.2239,0.7079
6.94,1.2263,0.7085
6.99,1.2288,0.709
7.04,1.2312,0.7096
7.09,1.2336,0.7102
7.14,1.236,0.7107
7.19,1.2385,0.7113
7.25,1.2409,0.7119
7.3,1.2433,0.7125
7.35,1.2457,0.713
7.4,1.2482,0.7136
7.46,1.2506,0.7141
7.51,1.2531,0.7147
7.56,1.2555,0.7152
7.61,1.2579,0.7158
7.67,1.2604,0.7163
7.72,1.2628,0.7168
7.77,1.2653,0.7174
7.82,1.2677,0.7179
7.87,1.2702,0.7184
7.93,1.2726,0.719
7.98,1.2751,0.7195
8.03,1.2776,0.72
8.08,1.28,0.7206
8.14,1.2825,0.7211
8.19,1.2849,0.7217
8.24,1.2874,0.7222
8.29,1.2899,0.7227
8.34,1.2923,0.7233
8.39,1.2948,0.7239
8.44,1.2973,0.7244
8.49,1.2998,0.7249
8.55,1.3022,0.7254
8.6,1.3047,0.7259
8.65,1.3072,0.7265
8.7,1.3097,0.727
8.76,1.3122,0.7275
8.81,1.3146,0.728
8.86,1.3171,0.7285
8.91,1.3196,0.7291
8.96,1.3221,0.7296
9.01,1.3246,0.7301
9.07,1.3271,0.7306
9.12,1.3296,0.7311
9.17,1.3321,0.7316
9.22,1.3346,0.7321
9.28,1.3371,0.7326
9.33,1.3396,0.7331
9.38,1.3421,0.7336
9.43,1.3446,0.7341
9.48,1.3471,0.7346
9.53,1.3496,0.735
9.59,1.3521,0.7355
9.64,1.3546,0.736
9.69,1.3571,0.7364
9.74,1.3752,0.7396
9.79,1.3962,0.7431
9.85,1.4172,0.7467
9.9,1.4383,0.7503
9.95,1.4592,0.7527
10.0,1.4802,0.755
10.05,1.5009,0.756
10.11,1.5217,0.7569
10.16,1.5423,0.757
10.21,1.5628,0.7568
10.26,1.5829,0.7554
10.31,1.6029,0.7536
10.36,1.6214,0.7493
10.42,1.6399,0.7451
10.47,1.6588,0.7426
10.52,1.6771,0.7396
10.58,1.6911,0.7342
10.63,1.7037,0.7285
10.68,1.7101,0.7219
10.73,1.716,0.7152
10.78,1.7209,0.7084
10.84,1.7262,0.7012
10.89,1.7329,0.6931
10.94,1.7402,0.6847
10.99,1.7492,0.6756
11.04,1.7579,0.6669
11.1,1.766,0.6594
11.15,1.7743,0.6515
11.2,1.7832,0.6432
11.25,1.7924,0.6347
11.3,1.8022,0.6261
11.35,1.8108,0.6183
11.4,1.8182,0.6115
11.46,1.8258,0.6043
11.51,1.8334,0.5968
11.56,1.8417,0.5889
11.61,1.8503,0.5808
11.66,1.8577,0.5739
11.72,1.864,0.568
11.77,1.8705,0.5617
11.82,1.877,0.5551
11.87,1.884,0.5484
11.92,1.8912,0.5414
11.97,1.8992,0.5342
12.03,1.9075,0.5268
12.08,1.9166,0.5192
12.13,1.926,0.5114
12.18,1.9364,0.5033
12.23,1.9471,0.4952
12.29,1.9589,0.4868
12.34,1.971,0.4784
12.39,1.9845,0.4699
12.44,1.9982,0.4614
12.5,2.0135,0.453
12.55,2.0289,0.4445
12.6,2.046,0.4363
12.66,2.0633,0.428
12.71,2.0814,0.42
12.76,2.0995,0.412
12.81,2.1125,0.4064
12.86,2.1255,0.4008
12.91,2.1391,0.3938
12.97,2.1528,0.3868
13.02,2.1677,0.3795
13.07,2.1827,0.3723
13.12,2.1994,0.3658
13.17,2.2164,0.3595
13.22,2.2348,0.354
13.28,2.2535,0.3488
13.33,2.2729,0.3444
13.38,2.2924,0.3403
13.43,2.312,0.337
13.49,2.3316,0.3341
13.54,2.3512,0.332
13.59,2.3707,0.3304
13.64,2.3902,0.3295
13.69,2.4097,0.3292
13.74,2.429,0.3295
13.8,2.4484,0.33
13.85,2.4678,0.3306
13.9,2.4872,0.3314
13.95,2.5065,0.3324
14.0,2.5259,0.3333
14.06,2.5454,0.3341
14.11,2.565,0.3348
14.16,2.5845,0.3355
14.21,2.6041,0.3361
14.27,2.6238,0.3367
14.32,2.6433,0.3378
14.37,2.6628,0.3392
14.42,2.6821,0.3413
14.47,2.7012,0.3439
14.52,2.7202,0.3471
14.58,2.7391,0.3507
14.63,2.7558,0.3529
14.68,2.7716,0.3545
14.73,2.7764,0.3535
14.78,2.7774,0.3515
14.83,2.7775,0.3507
14.89,2.7773,0.3503
14.94,2.7772,0.3499
14.99,2.7771,0.3494
15.04,2.7771,0.3486
15.09,2.7771,0.3477
15.15,2.7773,0.3466
15.2,2.7774,0.3454
15.25,2.7779,0.3441
15.3,2.7784,0.3428
15.35,2.779,0.3415
15.41,2.78,0.3399
15.46,2.7943,0.3293
15.51,2.8083,0.3187
15.56,2.8172,0.3094
15.61,2.8254,0.3003
15.67,2.827,0.2939
15.72,2.8285,0.2876
15.77,2.8299,0.2827
15.82,2.8316,0.278
15.87,2.8356,0.2742
15.92,2.8396,0.2708
15.98,2.8435,0.2683
16.03,2.847,0.2657
16.08,2.8489,0.2631
16.13,2.8506,0.2605
