t,name,x,y
0.01,obstacle,2.466,1.273
0.07,obstacle,2.466,1.273
0.13,obstacle,2.466,1.273
0.18,obstacle,2.466,1.273
0.24,obstacle,2.466,1.273
0.3,obstacle,2.466,1.273
0.35,obstacle,2.466,1.273
0.41,obstacle,2.466,1.273
0.47,obstacle,2.466,1.273
0.53,obstacle,2.466,1.273
0.58,obstacle,2.466,1.273
0.64,obstacle,2.466,1.273
0.69,obstacle,2.466,1.273
0.75,obstacle,2.466,1.273
0.8,obstacle,2.466,1.273
0.86,obstacle,2.466,1.273
0.92,obstacle,2.466,1.273
0.98,obstacle,2.466,1.273
1.03,obstacle,2.466,1.273
1.09,obstacle,2.466,1.273
1.15,obstacle,2.466,1.273
1.2,obstacle,2.466,1.273
1.26,obstacle,2.466,1.273
1.32,obstacle,2.466,1.273
1.37,obstacle,2.466,1.273
1.43,obstacle,2.466,1.273
1.49,obstacle,2.466,1.273
1.54,obstacle,2.466,1.273
1.6,obstacle,2.466,1.273
1.66,obstacle,2.466,1.273
1.72,obstacle,2.466,1.273
1.78,obstacle,2.466,1.273
1.83,obstacle,2.466,1.273
1.89,obstacle,2.466,1.273
1.95,obstacle,2.466,1.273
2.0,obstacle,2.466,1.273
2.06,obstacle,2.466,1.273
2.11,obstacle,2.466,1.273
2.17,obstacle,2.466,1.273
2.23,obstacle,2.466,1.273
2.28,obstacle,2.466,1.273
2.34,obstacle,2.466,1.273
2.4,obstacle,2.466,1.273
2.46,obstacle,2.466,1.273
2.51,obstacle,2.466,1.273
2.57,obstacle,2.466,1.273
2.62,obstacle,2.466,1.273
2.68,obstacle,2.466,1.273
2.74,obstacle,2.466,1.273
2.79,obstacle,2.466,1.273
2.85,obstacle,2.466,1.273
2.91,obstacle,2.466,1.273
2.97,obstacle,2.466,1.273
3.02,obstacle,2.466,1.273
3.08,obstacle,2.466,1.273
3.14,obstacle,2.466,1.273
3.19,obstacle,2.466,1.273
3.25,obstacle,2.466,1.273
3.31,obstacle,2.466,1.273
3.36,obstacle,2.466,1.273
3.42,obstacle,2.466,1.273
3.48,obstacle,2.466,1.273
3.53,obstacle,2.466,1.273
3.59,obstacle,2.466,1.273
3.65,obstacle,2.466,1.273
3.71,obstacle,2.466,1.273
3.77,obstacle,2.466,1.273
3.83,obstacle,2.466,1.273
3.88,obstacle,2.466,1.273
3.94,obstacle,2.466,1.273
3.99,obstacle,2.466,1.273
4.05,obstacle,2.466,1.273
4.1,obstacle,2.466,1.273
4.16,obstacle,2.466,1.273
4.22,obstacle,2.466,1.273
4.28,obstacle,2.466,1.273
4.33,obstacle,2.466,1.273
4.39,obstacle,2.466,1.273
4.45,obstacle,2.466,1.273
4.51,obstacle,2.466,1.273
4.56,obstacle,2.466,1.273
4.62,obstacle,2.466,1.273
4.67,obstacle,2.466,1.273
4.73,obstacle,2.466,1.273
4.79,obstacle,2.466,1.273
4.84,obstacle,2.466,1.273
4.9,obstacle,2.466,1.273
4.96,obstacle,2.466,1.273
5.01,obstacle,2.466,1.273
5.07,obstacle,2.466,1.273
5.13,obstacle,2.466,1.273
5.18,obstacle,2.466,1.273
5.24,obstacle,2.466,1.273
5.3,obstacle,2.466,1.273
5.35,obstacle,2.466,1.273
5.41,obstacle,2.466,1.273
5.47,obstacle,2.466,1.273
5.52,obstacle,2.466,1.273
