t,x,y
0.03,0.0,0.0
0.08,0.0,0.0
0.13,0.0144,-0.0013
0.18,0.0397,-0.0035
0.23,0.065,-0.0055
0.28,0.0904,-0.0072
0.34,0.1157,-0.0063
0.39,0.1409,-0.0037
0.44,0.1661,-0.0009
0.49,0.1912,0.0021
0.54,0.215,0.0082
0.59,0.2381,0.0158
0.64,0.2586,0.026
0.7,0.2781,0.0372
0.75,0.2945,0.0499
0.8,0.3099,0.0632
0.85,0.3259,0.0766
0.9,0.3418,0.0903
0.95,0.3557,0.1045
1.0,0.3689,0.1191
1.05,0.3858,0.1331
1.11,0.4027,0.1474
1.16,0.4186,0.1622
1.21,0.4342,0.1773
1.26,0.4503,0.1924
1.31,0.4662,0.2077
1.36,0.4834,0.2228
1.42,0.5005,0.2381
1.47,0.5187,0.2531
1.52,0.5369,0.2681
1.57,0.556,0.2828
1.62,0.5751,0.2975
1.68,0.5949,0.3118
1.73,0.6149,0.3261
1.78,0.6358,0.3396
1.83,0.6566,0.3532
1.89,0.6776,0.3667
1.94,0.6986,0.3803
1.99,0.7198,0.3937
2.04,0.7409,0.4073
2.09,0.7621,0.4207
2.14,0.7834,0.4342
2.19,0.8047,0.4476
2.24,0.826,0.461
2.3,0.8474,0.4744
2.35,0.8688,0.4878
2.4,0.8902,0.5012
2.45,0.9117,0.5145
2.5,0.9332,0.5279
2.56,0.9547,0.5412
2.61,0.9763,0.5545
2.66,0.9978,0.5678
2.71,1.0194,0.5811
2.76,1.041,0.5944
2.81,1.0627,0.6077
2.87,1.0842,0.621
2.92,1.1058,0.6345
2.97,1.1273,0.6479
3.02,1.1488,0.6614
3.08,1.1704,0.6748
3.13,1.1919,0.6882
3.18,1.2135,0.7017
3.23,1.235,0.7152
3.28,1.2566,0.7286
3.34,1.2782,0.7421
3.39,1.2998,0.7555
3.44,1.3214,0.769
3.49,1.343,0.7824
3.54,1.3646,0.7958
3.6,1.3862,0.8092
3.65,1.4078,0.8227
3.7,1.4295,0.8361
3.75,1.4511,0.8495
3.8,1.4741,0.8604
3.85,1.4972,0.8711
3.91,1.5208,0.8799
3.96,1.5441,0.888
4.01,1.561,0.8883
4.06,1.5766,0.8882
4.12,1.5782,0.8864
4.17,1.5794,0.8845
4.22,1.5785,0.882
4.27,1.5776,0.8795
4.33,1.5769,0.8771
4.38,1.5763,0.8748
