t,x,y
0.01,0.0,0.0
0.06,0.0,0.0
0.11,0.006,-0.0005
0.16,0.0312,-0.0028
0.21,0.0565,-0.0036
0.27,0.0816,-0.0006
0.32,0.1067,0.0026
0.37,0.1318,0.006
0.42,0.1557,0.0115
0.47,0.1777,0.0205
0.53,0.1977,0.0309
0.58,0.2146,0.0434
0.63,0.2293,0.0565
0.68,0.2411,0.0702
0.73,0.2534,0.0842
0.78,0.2662,0.0985
0.84,0.2796,0.113
0.89,0.2933,0.1278
0.94,0.3077,0.1428
0.99,0.3225,0.1579
1.04,0.338,0.1731
1.09,0.354,0.1884
1.15,0.3707,0.2036
1.2,0.3879,0.2188
1.25,0.4058,0.2338
1.3,0.4242,0.2487
1.35,0.4433,0.2632
1.4,0.4627,0.2777
1.45,0.4828,0.2918
1.51,0.5031,0.3057
1.56,0.524,0.3192
1.61,0.5449,0.3327
1.66,0.5668,0.3452
1.71,0.5888,0.3575
1.77,0.6109,0.3698
1.82,0.6329,0.3822
1.87,0.6549,0.3946
1.92,0.677,0.407
1.97,0.699,0.4194
2.02,0.721,0.4319
2.07,0.7431,0.4444
2.12,0.765,0.457
2.17,0.7871,0.4695
2.22,0.809,0.4822
2.27,0.831,0.4947
2.33,0.853,0.5074
2.38,0.875,0.52
2.43,0.897,0.5326
2.48,0.9191,0.5452
2.53,0.9411,0.5579
2.58,0.9631,0.5706
2.64,0.9851,0.5833
2.69,1.0071,0.5959
2.74,1.0291,0.6086
2.79,1.0512,0.6213
2.84,1.0731,0.6341
2.89,1.0947,0.6474
2.94,1.1163,0.6607
2.99,1.138,0.6739
3.04,1.1596,0.6872
3.1,1.1813,0.7005
3.15,1.2029,0.7137
3.2,1.2246,0.727
3.25,1.2463,0.7403
3.3,1.2679,0.7536
3.35,1.2896,0.7669
3.41,1.3113,0.7801
3.46,1.333,0.7934
3.51,1.3547,0.8066
3.56,1.3765,0.8199
3.61,1.3982,0.8332
3.66,1.4199,0.8464
3.72,1.4416,0.8597
3.77,1.4643,0.8711
3.82,1.4875,0.8817
3.87,1.5109,0.889
3.92,1.5344,0.895
3.97,1.5488,0.8943
4.02,1.5596,0.891
4.07,1.5619,0.889
4.13,1.5618,0.8874
4.18,1.5617,0.8859
4.23,1.5617,0.8844
4.28,1.5619,0.883
4.33,1.5621,0.8816
4.38,1.5624,0.8803
4.43,1.5627,0.8791
4.49,1.5633,0.8776
4.54,1.5638,0.8761
4.59,1.5711,0.8726
4.64,1.5784,0.8689
4.69,1.5847,0.8647
4.74,1.5912,0.8603
4.79,1.6011,0.8563
4.84,1.6109,0.8521
4.9,1.6195,0.8467
4.95,1.6279,0.8411
5.0,1.6353,0.8346
5.05,1.6441,0.8284
5.1,1.6599,0.8245
5.15,1.6752,0.8188
5.21,1.6888,0.8058
5.26,1.7013,0.7935
5.31,1.7108,0.7846
5.36,1.7201,0.7754
5.42,1.729,0.7656
5.46,1.7382,0.7553
5.51,1.7483,0.7443
5.57,1.759,0.7327
5.62,1.7711,0.7204
5.67,1.7828,0.7093
5.72,1.7939,0.6999
5.77,1.8052,0.6898
5.82,1.8167,0.6789
5.87,1.8288,0.6677
5.93,1.8416,0.656
5.98,1.8527,0.6458
6.03,1.8622,0.6368
6.08,1.8724,0.6272
6.13,1.8831,0.617
6.19,1.8919,0.6089
6.24,1.8994,0.6023
6.29,1.9071,0.595
6.34,1.915,0.5872
6.39,1.9237,0.5786
6.44,1.9329,0.5697
6.49,1.9434,0.5605
6.55,1.9543,0.5511
6.6,1.9667,0.5414
6.65,1.9796,0.5315
6.71,1.9944,0.5212
6.76,2.0097,0.5108
6.81,2.0271,0.5004
6.86,2.045,0.4899
6.91,2.0654,0.4796
6.96,2.0862,0.4695
7.02,2.1018,0.4638
7.07,2.1168,0.4587
7.12,2.1323,0.4507
7.17,2.1478,0.4426
7.22,2.1654,0.4339
7.27,2.1831,0.4252
7.32,2.2021,0.4166
7.37,2.2213,0.4081
7.43,2.243,0.4005
7.48,2.265,0.3931
7.53,2.2892,0.3873
7.58,2.3134,0.3819
7.63,2.3376,0.3783
7.68,2.3617,0.3752
7.73,2.3856,0.3737
7.78,2.4094,0.3726
7.84,2.4328,0.3729
7.89,2.4562,0.3734
7.94,2.4795,0.3743
7.99,2.5029,0.3754
8.04,2.5264,0.3765
8.1,2.55,0.3778
8.15,2.5737,0.379
8.2,2.5975,0.3802
8.25,2.6214,0.3814
8.3,2.6453,0.3829
8.36,2.6691,0.3847
8.41,2.6927,0.3872
8.46,2.7159,0.3907
8.51,2.7386,0.395
8.56,2.7608,0.4002
8.61,2.7824,0.4063
8.66,2.8035,0.4131
8.71,2.8241,0.4205
8.76,2.8442,0.4286
8.82,2.8637,0.4373
8.87,2.8828,0.4466
8.92,2.9013,0.4564
8.97,2.9193,0.4667
9.03,2.9368,0.4774
9.08,2.9538,0.4886
9.13,2.9702,0.5003
9.18,2.9862,0.5123
9.23,3.0015,0.5247
9.28,3.0166,0.5374
9.33,3.0311,0.5505
9.39,3.0453,0.5639
9.44,3.0595,0.5776
9.49,3.0734,0.5916
9.54,3.0873,0.6058
9.6,3.1009,0.6203
9.65,3.1148,0.6351
9.7,3.1284,0.6501
9.75,3.1421,0.6654
9.8,3.1556,0.6809
9.85,3.1691,0.6966
9.9,3.1824,0.7126
9.95,3.1958,0.7288
10.01,3.2089,0.7453
10.06,3.2226,0.7619
10.11,3.2363,0.7787
10.16,3.2516,0.7954
10.21,3.2677,0.811
10.26,3.2923,0.8164
10.32,3.3168,0.8221
10.37,3.3411,0.8297
10.42,3.3651,0.838
10.47,3.388,0.849
10.52,3.4103,0.8608
10.57,3.4315,0.8743
10.62,3.452,0.8882
10.68,3.4716,0.9032
10.73,3.4891,0.9191
10.78,3.5033,0.9366
10.83,3.5174,0.9543
10.88,3.5318,0.9721
10.94,3.5463,0.99
10.99,3.5611,1.008
11.04,3.5761,1.026
11.09,3.5914,1.0441
11.14,3.6067,1.0623
11.2,3.6222,1.0805
11.25,3.6379,1.0987
11.3,3.6537,1.1169
11.35,3.6698,1.1352
11.4,3.6859,1.1535
11.45,3.7022,1.1718
11.5,3.7186,1.1901
11.56,3.7351,1.2084
11.61,3.7517,1.2267
11.66,3.7685,1.2449
11.71,3.7853,1.2632
11.76,3.8023,1.2815
11.81,3.8193,1.2998
11.86,3.8364,1.318
11.91,3.8536,1.3362
11.97,3.8709,1.3544
12.02,3.8882,1.3726
12.07,3.9056,1.3908
12.12,3.923,1.409
12.17,3.9406,1.4271
12.23,3.9581,1.4452
12.28,3.9758,1.4633
12.33,3.9934,1.4814
12.38,4.0111,1.4995
12.43,4.0287,1.5177
12.49,4.0464,1.5358
12.54,4.0641,1.5539
12.59,4.0819,1.572
12.64,4.0997,1.59
12.69,4.1176,1.608
12.74,4.1355,1.6261
12.79,4.1535,1.644
12.85,4.1715,1.662
12.9,4.1895,1.6799
12.95,4.2075,1.6978
13.0,4.2256,1.7157
13.05,4.2437,1.7336
13.1,4.2619,1.7514
13.16,4.28,1.7693
13.21,4.2982,1.7871
13.26,4.3164,1.8049
13.32,4.3347,1.8226
13.37,4.3529,1.8404
13.42,4.3712,1.8581
13.47,4.3895,1.8759
13.52,4.4079,1.8936
13.57,4.4262,1.9113
13.62,4.4445,1.9289
13.67,4.4629,1.9466
13.72,4.4813,1.9643
13.77,4.4997,1.9819
13.82,4.5181,1.9995
13.88,4.5365,2.0172
13.93,4.5549,2.0348
13.98,4.5734,2.0524
14.03,4.5918,2.07
14.09,4.6103,2.0875
14.14,4.6288,2.1051
14.19,4.6473,2.1227
14.24,4.6658,2.1402
14.29,4.6843,2.1577
14.34,4.7028,2.1753
14.39,4.7213,2.1928
14.44,4.7398,2.2103
14.49,4.7584,2.2278
14.55,4.7769,2.2453
14.6,4.7955,2.2628
14.65,4.814,2.2803
14.7,4.8326,2.2978
14.75,4.8512,2.3152
14.8,4.8698,2.3327
14.85,4.8883,2.3502
14.9,4.9069,2.3676
14.96,4.9255,2.3851
15.01,4.9441,2.4025
15.06,4.9627,2.4199
15.12,4.9814,2.4374
15.17,5.0,2.4548
15.22,5.0186,2.4722
15.27,5.0372,2.4897
15.32,5.0558,2.5071
15.37,5.0745,2.5245
15.42,5.0931,2.5419
15.48,5.1117,2.5593
15.53,5.1303,2.5767
15.58,5.149,2.5941
15.63,5.1676,2.6115
15.68,5.1862,2.629
15.73,5.2049,2.6464
15.79,5.2235,2.6638
15.84,5.2422,2.6812
15.89,5.2608,2.6985
15.94,5.2795,2.7159
