t,x,y
0.03,0.0,0.0
0.08,0.0,0.0
0.13,0.0144,-0.0013
0.18,0.0397,-0.0035
0.23,0.065,-0.0055
0.28,0.0904,-0.0072
0.34,0.1157,-0.0063
0.39,0.1409,-0.0037
0.44,0.1661,-0.0009
0.49,0.1913,0.0021
0.54,0.215,0.0083
0.59,0.2381,0.0159
0.65,0.2586,0.0261
0.7,0.2781,0.0373
0.75,0.2944,0.05
0.8,0.3098,0.0633
0.85,0.3258,0.0767
0.9,0.3418,0.0904
0.95,0.3583,0.1041
1.01,0.3748,0.118
1.06,0.3897,0.1326
1.11,0.4041,0.1474
1.16,0.4198,0.1622
1.21,0.4354,0.1773
1.26,0.4515,0.1924
1.32,0.4674,0.2078
1.37,0.4847,0.2228
1.42,0.5017,0.2381
1.47,0.52,0.253
1.52,0.5382,0.2681
1.57,0.5573,0.2827
1.63,0.5764,0.2974
1.68,0.597,0.311
1.73,0.6176,0.3248
1.78,0.6384,0.3383
1.83,0.6592,0.352
1.88,0.6802,0.3655
1.93,0.7011,0.3792
1.98,0.7222,0.3927
2.04,0.7432,0.4062
2.09,0.7644,0.4197
2.14,0.7856,0.4333
2.19,0.8068,0.4467
2.24,0.8281,0.4602
2.29,0.8494,0.4737
2.34,0.8708,0.4871
2.39,0.8922,0.5005
2.45,0.9136,0.5139
2.5,0.9351,0.5273
2.55,0.9565,0.5407
2.6,0.978,0.554
2.65,0.9996,0.5674
2.7,1.0212,0.5807
2.75,1.0428,0.594
2.81,1.0644,0.6072
2.86,1.0861,0.6204
2.91,1.1078,0.6336
2.96,1.1295,0.6468
3.01,1.1512,0.66
3.06,1.173,0.6732
3.12,1.1947,0.6864
3.17,1.2164,0.6996
3.22,1.2382,0.7128
3.27,1.2599,0.726
3.32,1.2816,0.7392
3.37,1.3034,0.7524
3.43,1.3252,0.7656
3.48,1.3469,0.7788
3.53,1.3687,0.792
3.58,1.3905,0.8052
3.63,1.4122,0.8184
3.69,1.434,0.8316
3.74,1.4558,0.8448
3.79,1.4787,0.8561
3.84,1.5016,0.8672
3.89,1.5247,0.8779
3.94,1.5478,0.8884
3.99,1.5718,0.8954
4.05,1.5947,0.9017
4.1,1.6076,0.9022
4.15,1.6191,0.9023
4.2,1.6198,0.901
4.25,1.6204,0.8997
4.31,1.6208,0.898
4.36,1.6212,0.8963
