scenario,trial_id,success,goal_reached,collision_free,time_sec,path_length_m,avg_linear_vel,avg_angular_vel,recovery_count,collision_count,stuck,min_clearance_m,avg_clearance_m,hit_cat,hit_obstacles,avg_traversability,avg_corridor_width
S1,1,1,1,1,25.72,11.25,0.438,0.094,0,0,0,0.0,0.0,0,none,1.0,362.0
S1,2,1,1,1,26.03,11.25,0.438,0.093,0,0,0,0.0,0.0,0,none,1.0,362.0
S1,3,1,1,1,25.68,11.27,0.441,0.09,0,0,0,0.0,0.0,0,none,1.0,362.0
S1,4,1,1,1,25.26,11.26,0.44,0.088,0,0,0,0.0,0.0,0,none,1.0,362.0
S1,5,1,1,1,25.34,11.26,0.442,0.089,0,0,0,0.0,0.0,0,none,1.0,362.0
S1,6,1,1,1,25.41,11.25,0.438,0.094,0,0,0,0.0,0.0,0,none,1.0,362.0
S1,7,1,1,1,25.4,11.27,0.438,0.091,0,0,0,0.0,0.0,0,none,1.0,362.0
S1,8,1,1,1,25.24,11.26,0.444,0.089,0,0,0,0.0,0.0,0,none,1.0,362.0
S1,9,1,1,1,25.41,11.26,0.439,0.092,0,0,0,0.0,0.0,0,none,1.0,362.0
S1,10,1,1,1,25.52,11.29,0.44,0.092,0,0,0,0.0,0.0,0,none,1.0,362.0
