t,x,y
0.04,0.0,0.0
0.09,0.0,0.0
0.14,0.0193,-0.0017
0.19,0.0446,-0.004
0.24,0.07,-0.0057
0.29,0.0954,-0.0074
0.35,0.0999,-0.0046
0.4,0.1003,-0.0011
0.45,0.1226,0.0022
0.5,0.1478,0.0055
0.55,0.1729,0.0092
0.6,0.198,0.013
0.66,0.2211,0.0211
0.71,0.244,0.0295
0.76,0.2632,0.0414
0.81,0.282,0.0536
0.86,0.2971,0.0674
0.91,0.3119,0.0815
0.96,0.3276,0.0956
1.01,0.3432,0.11
1.07,0.3594,0.1244
1.12,0.3757,0.139
1.17,0.3926,0.1536
1.22,0.4095,0.1683
1.27,0.4271,0.183
1.32,0.4448,0.1977
1.37,0.4631,0.2124
1.43,0.4812,0.2272
1.48,0.4991,0.2423
1.53,0.5173,0.2573
1.58,0.5361,0.2721
1.63,0.5552,0.2869
1.68,0.5749,0.3013
1.74,0.595,0.3154
1.79,0.6159,0.329
1.84,0.6368,0.3425
1.89,0.6579,0.3559
1.94,0.679,0.3694
2.0,0.7001,0.3828
2.05,0.7213,0.3963
2.1,0.7426,0.4097
2.15,0.7639,0.4231
2.2,0.7852,0.4365
2.25,0.8066,0.4499
2.31,0.828,0.4632
2.36,0.8494,0.4766
2.41,0.8709,0.4899
2.46,0.8924,0.5032
2.52,0.9139,0.5166
2.57,0.9354,0.5299
2.62,0.957,0.5432
2.67,0.9786,0.5564
2.72,1.0002,0.5697
2.77,1.0219,0.5829
2.83,1.0436,0.5961
2.88,1.0653,0.6093
2.93,1.087,0.6225
2.98,1.1087,0.6356
3.03,1.1304,0.6488
3.08,1.1522,0.662
3.13,1.1739,0.6752
3.19,1.1957,0.6883
3.24,1.2174,0.7015
3.29,1.2392,0.7147
3.34,1.2609,0.728
3.39,1.2826,0.7412
3.45,1.3044,0.7544
3.5,1.3261,0.7676
3.55,1.3479,0.7808
3.6,1.3697,0.794
3.65,1.3914,0.8072
3.7,1.4132,0.8204
3.75,1.435,0.8336
3.8,1.4567,0.8468
3.86,1.4788,0.8596
3.91,1.5017,0.8707
3.96,1.5248,0.8813
4.01,1.5483,0.8907
4.06,1.5704,0.8987
4.11,1.5891,0.9039
4.16,1.603,0.9063
4.22,1.6082,0.9036
