t,x,y
0.04,0.0,0.0
0.09,0.0,0.0
0.14,0.0104,-0.001
0.2,0.023,-0.0022
0.25,0.0357,-0.0033
0.3,0.0483,-0.0045
0.35,0.0496,-0.003
0.4,0.0498,-0.0013
0.46,0.0622,0.0002
0.51,0.0749,0.0016
0.56,0.0875,0.0006
0.61,0.1,-0.0004
0.66,0.1126,0.0012
0.72,0.1252,0.0028
0.77,0.1379,0.0044
0.82,0.1504,0.0063
0.87,0.1617,0.0106
0.92,0.173,0.015
0.97,0.1844,0.0193
1.02,0.1953,0.0241
1.07,0.2043,0.0304
1.13,0.2133,0.0368
1.18,0.2225,0.0432
1.23,0.2309,0.0499
1.28,0.2375,0.0571
1.33,0.2442,0.0645
1.39,0.2511,0.0719
1.44,0.2581,0.0795
1.49,0.2652,0.0872
1.54,0.2725,0.095
1.59,0.2799,0.1029
1.64,0.2874,0.1108
1.7,0.2951,0.1188
1.74,0.3029,0.1269
1.8,0.3109,0.135
1.85,0.3193,0.1434
1.9,0.328,0.1521
1.95,0.3372,0.1611
2.0,0.3469,0.1704
2.05,0.3572,0.1799
2.1,0.3678,0.1897
2.16,0.3792,0.1999
2.21,0.391,0.2102
2.26,0.4038,0.2209
2.31,0.417,0.2317
2.37,0.4315,0.2429
2.42,0.4465,0.2543
2.47,0.463,0.2661
2.52,0.48,0.2781
2.57,0.4974,0.2898
2.62,0.5149,0.3014
2.67,0.5327,0.3128
2.72,0.5506,0.3241
2.77,0.5691,0.3349
2.82,0.5878,0.3456
2.87,0.6065,0.3564
2.93,0.6251,0.3671
2.98,0.6438,0.3778
3.03,0.6624,0.3886
3.08,0.6811,0.3994
3.13,0.6997,0.4101
3.18,0.7183,0.4209
3.24,0.7369,0.4317
3.29,0.7556,0.4425
3.34,0.7742,0.4533
3.39,0.7928,0.4641
3.45,0.8114,0.4749
3.5,0.83,0.4858
3.55,0.8486,0.4966
3.6,0.8672,0.5074
3.65,0.8858,0.5183
3.7,0.9044,0.5291
3.75,0.923,0.5399
3.8,0.9416,0.5508
3.86,0.9602,0.5616
3.91,0.9788,0.5725
3.96,0.9974,0.5833
4.01,1.016,0.5942
4.06,1.0346,0.6051
4.12,1.0532,0.6159
4.17,1.0717,0.6269
