t,x,y
0.01,0.0,0.0
0.06,0.0,0.0
0.11,0.0007,-0.0001
0.16,0.0134,-0.0013
0.21,0.026,-0.0025
0.26,0.0386,-0.0037
0.31,0.0513,-0.0049
0.36,0.0639,-0.0059
0.41,0.0766,-0.0066
0.46,0.0892,-0.0054
0.52,0.1018,-0.0042
0.57,0.1145,-0.0029
0.62,0.1271,-0.0016
0.67,0.1397,-0.0002
0.72,0.1523,0.0012
0.77,0.1649,0.0027
0.82,0.1771,0.0051
0.88,0.1885,0.009
0.93,0.2,0.013
0.98,0.2115,0.0169
1.03,0.2222,0.0217
1.08,0.2317,0.0276
1.13,0.2412,0.0335
1.19,0.2509,0.0395
1.24,0.2594,0.0459
1.29,0.2667,0.0529
1.34,0.2742,0.0599
1.39,0.2818,0.0671
1.44,0.2895,0.0743
1.49,0.2973,0.0817
1.55,0.3053,0.0891
1.6,0.3134,0.0966
1.65,0.3216,0.1041
1.7,0.3299,0.1117
1.75,0.3386,0.1196
1.8,0.3476,0.1277
1.85,0.3572,0.1361
1.91,0.367,0.1448
1.96,0.3775,0.1539
2.01,0.3881,0.1632
2.06,0.3997,0.1728
2.11,0.4114,0.1827
2.16,0.4242,0.193
2.22,0.4372,0.2035
2.27,0.4515,0.2145
2.32,0.466,0.2257
2.37,0.4822,0.2375
2.42,0.4985,0.2496
2.47,0.5155,0.2614
2.52,0.5324,0.2734
2.58,0.5492,0.2857
2.63,0.5659,0.298
2.68,0.5831,0.31
2.73,0.6004,0.322
2.78,0.6184,0.3335
2.83,0.6365,0.345
2.89,0.6546,0.3564
2.94,0.6728,0.3679
2.99,0.6909,0.3792
3.04,0.7091,0.3906
3.09,0.7273,0.402
3.14,0.7455,0.4134
3.19,0.7637,0.4247
3.25,0.782,0.4361
3.3,0.8002,0.4474
3.35,0.8185,0.4587
3.4,0.8368,0.47
3.45,0.8551,0.4813
3.51,0.8734,0.4926
3.56,0.8917,0.5039
3.61,0.91,0.5151
3.66,0.9283,0.5264
3.71,0.9467,0.5376
3.77,0.965,0.5488
3.82,0.9834,0.5601
3.87,1.0017,0.5712
3.92,1.0201,0.5824
3.97,1.0386,0.5935
4.03,1.057,0.6047
4.08,1.0754,0.6158
4.13,1.0938,0.627
4.18,1.1122,0.6381
4.23,1.1306,0.6492
4.28,1.1491,0.6604
4.33,1.1675,0.6715
4.38,1.1859,0.6826
4.44,1.2043,0.6938
4.49,1.2228,0.7049
4.54,1.2412,0.716
4.59,1.2596,0.7272
4.65,1.278,0.7383
4.7,1.2965,0.7494
4.75,1.3149,0.7606
4.8,1.3333,0.7717
4.85,1.3517,0.7828
4.9,1.3702,0.7939
4.96,1.3886,0.8051
5.01,1.407,0.8162
5.06,1.4255,0.8273
5.11,1.4439,0.8385
5.16,1.4623,0.8496
5.21,1.4814,0.8588
5.27,1.5005,0.8679
5.32,1.5197,0.8765
5.37,1.5389,0.8849
5.42,1.5584,0.8917
5.47,1.5775,0.8982
5.52,1.5902,0.9007
5.58,1.6005,0.9024
5.63,1.6012,0.9014
5.68,1.6018,0.9004
5.74,1.6019,0.8992
5.79,1.602,0.8981
5.84,1.6022,0.897
5.89,1.6025,0.8959
5.94,1.6028,0.8949
5.99,1.6031,0.8939
6.05,1.6034,0.8929
6.1,1.604,0.8916
6.15,1.6048,0.89
6.2,1.6058,0.888
6.25,1.6072,0.8855
6.3,1.6091,0.8827
6.36,1.6114,0.8796
6.41,1.6142,0.876
6.46,1.6176,0.8721
6.51,1.6215,0.868
6.56,1.626,0.8636
6.62,1.6311,0.8589
6.67,1.6367,0.8539
6.72,1.6429,0.8487
6.77,1.6494,0.8433
6.82,1.6567,0.8376
6.88,1.6643,0.8317
6.93,1.6728,0.8255
6.98,1.6816,0.8192
7.03,1.6914,0.8126
7.08,1.7015,0.8058
7.14,1.7129,0.7989
7.19,1.7245,0.7919
7.24,1.7376,0.7848
7.29,1.751,0.7775
7.34,1.7659,0.7704
7.39,1.7812,0.7632
7.45,1.7978,0.7565
7.5,1.8146,0.7497
7.55,1.832,0.7439
7.6,1.8495,0.7382
7.65,1.8673,0.7334
7.7,1.8852,0.7286
7.75,1.9033,0.7243
7.81,1.9213,0.7201
7.86,1.9397,0.7171
7.91,1.9581,0.7142
7.96,1.9767,0.7126
8.01,1.9953,0.7111
8.07,2.0139,0.7108
8.12,2.0326,0.7106
8.17,2.0511,0.711
8.22,2.0697,0.7116
8.27,2.0883,0.7124
8.33,2.1068,0.7134
8.38,2.1253,0.7148
8.43,2.1438,0.7165
8.48,2.1622,0.7188
8.53,2.1805,0.7215
8.58,2.1986,0.7249
8.64,2.2166,0.7287
8.69,2.2345,0.7331
8.74,2.2523,0.7378
8.79,2.2699,0.7431
8.84,2.2874,0.7487
8.89,2.3048,0.7549
8.95,2.3219,0.7615
9.0,2.3389,0.7686
9.05,2.3557,0.7761
9.1,2.3724,0.784
9.16,2.3889,0.7924
9.21,2.4053,0.8011
9.26,2.4215,0.8101
9.31,2.4376,0.8192
9.36,2.4536,0.8287
9.41,2.4692,0.8385
9.46,2.4847,0.8486
9.52,2.4999,0.8589
9.57,2.5151,0.8694
9.62,2.5302,0.8801
9.67,2.5452,0.8911
9.72,2.5601,0.9023
9.78,2.5751,0.9135
9.83,2.59,0.9249
9.88,2.6049,0.9365
9.93,2.6197,0.9483
9.98,2.6346,0.9602
10.03,2.6494,0.9722
10.09,2.6643,0.9844
10.14,2.6789,0.9967
10.19,2.6937,1.0092
10.24,2.7082,1.0218
10.3,2.7265,1.0317
10.35,2.7448,1.0417
10.4,2.7629,1.0519
10.45,2.781,1.0622
10.5,2.7987,1.073
10.55,2.8163,1.0839
10.61,2.8336,1.0952
10.66,2.8508,1.1067
10.71,2.8678,1.1184
10.76,2.8842,1.1306
10.81,2.8985,1.1444
10.87,2.9126,1.1583
10.92,2.9269,1.1723
10.97,2.9412,1.1864
11.02,2.9558,1.2005
11.07,2.9703,1.2146
11.12,2.9851,1.2288
11.18,2.9998,1.243
11.23,3.0148,1.2571
11.28,3.0297,1.2713
11.33,3.0449,1.2855
11.38,3.06,1.2997
11.43,3.0753,1.3139
11.48,3.0906,1.3281
11.54,3.106,1.3423
11.59,3.1214,1.3565
11.64,3.137,1.3707
11.69,3.1526,1.3849
11.74,3.1682,1.3991
11.79,3.1838,1.4133
11.84,3.1996,1.4275
11.9,3.2154,1.4417
11.95,3.2312,1.4558
12.0,3.247,1.47
12.05,3.2629,1.4841
12.1,3.2788,1.4983
12.16,3.2948,1.5124
12.21,3.3108,1.5265
12.26,3.3268,1.5406
12.31,3.3429,1.5547
12.36,3.359,1.5688
12.42,3.3751,1.5828
12.47,3.3912,1.5969
12.52,3.4074,1.611
12.57,3.4236,1.625
12.62,3.4398,1.639
12.67,3.456,1.6531
12.72,3.4722,1.6671
12.78,3.4885,1.6811
12.83,3.5048,1.6951
12.88,3.521,1.7091
12.93,3.5373,1.7231
12.98,3.5536,1.7371
13.03,3.5699,1.7511
13.09,3.5862,1.7651
13.14,3.6025,1.779
13.19,3.6189,1.793
13.24,3.6352,1.8069
13.29,3.6516,1.8209
13.35,3.668,1.8348
13.4,3.6844,1.8487
13.45,3.7008,1.8626
13.5,3.7172,1.8765
13.55,3.7337,1.8904
13.61,3.7501,1.9043
13.66,3.7666,1.9181
13.71,3.783,1.932
13.76,3.7995,1.9458
13.81,3.816,1.9596
13.86,3.8325,1.9735
13.91,3.849,1.9873
13.97,3.8655,2.0011
14.02,3.882,2.0149
14.07,3.8985,2.0287
14.12,3.9151,2.0425
14.18,3.9316,2.0563
14.23,3.9482,2.07
14.28,3.9647,2.0838
14.33,3.9813,2.0975
14.38,3.9979,2.1113
14.43,4.0144,2.125
14.48,4.031,2.1388
14.53,4.0476,2.1525
14.59,4.0642,2.1662
14.64,4.0808,2.1799
14.69,4.0974,2.1936
14.74,4.114,2.2073
14.79,4.1306,2.221
14.84,4.1472,2.2347
14.9,4.1639,2.2484
14.95,4.1805,2.2621
15.0,4.1971,2.2758
15.05,4.2137,2.2895
15.1,4.2304,2.3031
15.16,4.247,2.3168
15.21,4.2637,2.3304
15.26,4.2803,2.3441
15.31,4.297,2.3577
15.36,4.3139,2.371
15.41,4.3309,2.3842
15.47,4.3479,2.3975
15.52,4.3649,2.4107
15.57,4.3818,2.424
15.62,4.3988,2.4373
15.68,4.4157,2.4506
15.73,4.4326,2.4639
15.78,4.4495,2.4772
15.83,4.4664,2.4906
15.88,4.4833,2.5039
15.93,4.5002,2.5173
15.99,4.5171,2.5306
