t,name,x,y
0.0,obstacle_cat,3.035,0.771
0.06,obstacle_cat,3.035,0.771
0.11,obstacle_cat,3.035,0.771
0.17,obstacle_cat,3.035,0.771
0.22,obstacle_cat,3.035,0.771
0.28,obstacle_cat,3.035,0.771
0.33,obstacle_cat,3.035,0.771
0.39,obstacle_cat,3.035,0.771
0.45,obstacle_cat,3.035,0.771
0.52,obstacle_cat,3.035,0.771
0.57,obstacle_cat,3.035,0.771
0.63,obstacle_cat,3.035,0.771
0.69,obstacle_cat,3.035,0.771
0.74,obstacle_cat,3.035,0.771
0.79,obstacle_cat,3.035,0.771
0.85,obstacle_cat,3.035,0.771
0.9,obstacle_cat,3.035,0.771
0.96,obstacle_cat,3.035,0.771
1.01,obstacle_cat,3.035,0.771
1.07,obstacle_cat,3.035,0.771
1.13,obstacle_cat,3.035,0.771
1.18,obstacle_cat,3.035,0.771
1.23,obstacle_cat,3.035,0.771
1.29,obstacle_cat,3.035,0.771
1.35,obstacle_cat,3.035,0.771
1.4,obstacle_cat,3.035,0.771
1.46,obstacle_cat,3.035,0.771
1.52,obstacle_cat,3.035,0.771
1.57,obstacle_cat,3.035,0.771
1.63,obstacle_cat,3.035,0.771
1.68,obstacle_cat,3.035,0.771
1.74,obstacle_cat,3.035,0.771
1.79,obstacle_cat,3.035,0.771
1.85,obstacle_cat,3.035,0.771
1.9,obstacle_cat,3.035,0.771
1.96,obstacle_cat,3.035,0.771
2.02,obstacle_cat,3.035,0.771
2.07,obstacle_cat,3.035,0.771
2.13,obstacle_cat,3.035,0.771
2.18,obstacle_cat,3.035,0.771
2.24,obstacle_cat,3.035,0.771
2.3,obstacle_cat,3.035,0.771
2.35,obstacle_cat,3.035,0.771
2.41,obstacle_cat,3.035,0.771
2.46,obstacle_cat,3.035,0.771
2.52,obstacle_cat,3.035,0.771
2.58,obstacle_cat,3.035,0.771
2.63,obstacle_cat,3.035,0.771
2.69,obstacle_cat,3.035,0.771
2.74,obstacle_cat,3.035,0.771
2.8,obstacle_cat,3.035,0.771
2.86,obstacle_cat,3.035,0.771
2.91,obstacle_cat,3.035,0.771
2.96,obstacle_cat,3.035,0.771
3.02,obstacle_cat,3.035,0.771
3.08,obstacle_cat,3.035,0.771
3.13,obstacle_cat,3.035,0.771
3.19,obstacle_cat,3.035,0.771
3.25,obstacle_cat,3.035,0.771
3.3,obstacle_cat,3.035,0.771
3.36,obstacle_cat,3.035,0.771
3.42,obstacle_cat,3.035,0.771
3.47,obstacle_cat,3.035,0.771
3.54,obstacle_cat,3.035,0.771
3.59,obstacle_cat,3.035,0.771
3.65,obstacle_cat,3.035,0.771
3.7,obstacle_cat,3.035,0.771
3.76,obstacle_cat,3.035,0.771
3.81,obstacle_cat,3.035,0.771
3.87,obstacle_cat,3.035,0.771
3.93,obstacle_cat,3.035,0.771
