scenario,trial_id,success,goal_reached,collision_free,time_sec,path_length_m,avg_linear_vel,avg_angular_vel,recovery_count,collision_count,stuck,min_clearance_m,avg_clearance_m,hit_cat,hit_obstacles,avg_traversability,avg_corridor_width
S8,1,1,1,1,43.94,12.08,0.278,0.096,0,0,0,0.34,1.332,0,none,0.975,362.0
S8,2,1,1,1,54.31,12.58,0.233,0.125,0,0,0,0.337,1.291,0,none,0.975,362.0
S8,3,1,1,1,51.51,12.54,0.245,0.137,0,0,0,0.296,1.25,0,none,0.984,362.0
S8,4,1,1,1,50.11,12.55,0.253,0.132,0,0,0,0.33,1.299,0,none,0.976,362.0
S8,5,1,1,1,53.18,12.4,0.233,0.143,0,0,0,0.27,1.251,0,none,0.937,354.13
S8,6,1,1,1,47.93,12.46,0.259,0.163,0,0,0,0.326,1.272,0,none,0.955,356.59
S8,7,1,1,1,49.26,12.3,0.25,0.127,0,0,0,0.327,1.221,0,none,0.97,361.39
S8,8,1,1,1,52.17,12.39,0.238,0.114,0,0,0,0.318,1.273,0,none,0.969,362.0
S8,9,1,1,1,49.36,12.55,0.253,0.153,0,0,0,0.324,1.244,0,none,0.965,361.51
S8,10,1,1,1,47.89,12.26,0.256,0.144,0,0,0,0.299,1.27,0,none,0.985,362.0

